period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,avg_SE.upper,avg_SE.lower,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,median_SE.upper,median_SE.lower,percentile_2.5,percentile_16,percentile_84,percentile_97.5,correction.min_estimate_95,correction.max_estimate_95,correction.min_estimate_68,correction.max_estimate_68,correction.mean,correction.median
0,0.9920183504601887,0.83685220427776,1.1400078451367368,0.7406800549878142,1.2350522527899082,0.6938119259020276,1.2808343108280453,0.152707358055081,0.16466358036737858,1.0002860050890479,0.9759955547231034,1.0302415151480138,0.9598817005739286,1.0495682073348767,0.952488575238072,1.0593766473614497,0.03614773421508699,0.03788850753440522,0.7613480750118732,0.9811783128163083,1.0180238443317502,1.115199547052503,0.9689050144909658,1.0035349821347113,0.9847551392985416,1.000717447869427,0.9923385458322392,0.9934920693136353
3,1.0682948059598412,0.7308839916424263,1.3845926920580294,0.5225424990211973,1.5917344277981884,0.4213208150823363,1.691220168322325,0.31853650008560347,0.3264306567803226,0.98273880207752,0.7804310544042488,1.2334757023816585,0.6013901403613071,1.3462810630805888,0.5516339582918326,1.4028004839055361,0.17704557108178143,0.20302404161306986,0.3315284800904637,0.7102270772765897,1.3750678350204222,2.6797788808890317,0.7271333932589434,0.9732012852395089,0.7621444570488669,0.9024990706654912,0.828094033678512,0.8108198999579621
6,0.8179112201614377,0.4348291263432893,1.2125842609843682,0.19248319611235337,1.470979572739483,0.07623064916551356,1.5956285801343217,0.3894293434352927,0.3852549884765413,0.7427512169284634,0.4007591334839622,0.9789919921217631,0.25194421983190496,1.1463108813922758,0.16378760080078802,1.252083221863925,0.2477344779060529,0.25634473839614325,-0.10559500494474286,0.3948428416843355,1.2417852674065473,2.344849819380748,0.4424458506908277,0.7123222436042884,0.5211629517154645,0.611828570687658,0.5605759801925375,0.5430570030121871
9,0.6642034592663416,0.23217056376165865,1.1102077786477387,-0.040371817488304124,1.4202380375471553,-0.17447403923119678,1.5699233652527245,0.4524186691313078,0.44292739962022,0.5778395023425944,0.23185874782995725,0.830104234351549,0.09381102011928177,1.0880210215646886,-3.799315437197845e-4,1.2065944206394306,0.2937128742156152,0.3058604033739136,-0.5717529056322879,0.17821495969341777,1.1797442208965188,2.166347342664123,0.26320121566490084,0.5942666302470473,0.33746592477707454,0.47563533082634474,0.4040640894406412,0.39551430421561795
12,0.4978200954104307,0.045191318296624594,0.9818017258623075,-0.2516754555797679,1.2886072234149182,-0.3940499636947575,1.44476098564924,0.48759444907541977,0.4690636395692743,0.46181319937037113,0.04701559569073621,0.7239612880578964,-0.10074160595291481,0.9282813630752454,-0.19770709307973655,1.0426524239914665,0.33229783347804726,0.3356569763281649,-0.8347571001900402,0.03237066563379179,0.9676203745432799,1.9779568588609862,0.019198981836142135,0.41643103148458693,0.13621010942268957,0.2797790587780814,0.2406814429085641,0.25517984339481953
15,0.33003966644889043,-0.1431762126630471,0.8224575372512958,-0.4536355451119306,1.146849763575928,-0.6058359345671506,1.300512847472833,0.4974839416280186,0.49009863535527504,0.3081641057522413,-0.05038623339051462,0.5978526681767017,-0.25539948570918347,0.7571654388946107,-0.3374073721649803,0.8794713439976533,0.33360706700364406,0.31978863650508593,-1.1299320275085847,-0.09170218499463204,0.7899924672691192,1.8828037265810869,0.02853642045509442,0.26205953190419484,0.09270554832114064,0.17826774432049075,0.14323404352697186,0.14704641594026466
18,0.23531727391926643,-0.2568390519580508,0.7463662618972126,-0.5945272986017851,1.0851142421235869,-0.7580185710734441,1.2522445893754663,0.5191594775772002,0.5151772198529821,0.15275056937129938,-0.14189821107878,0.4877657369975815,-0.3218528898807119,0.6596539381468918,-0.42830981089345316,0.7577629580593097,0.31079069683414356,0.30924453835727306,-1.2092284539243576,-0.16466636819488606,0.6709090242500273,2.112957344304525,-0.021473808002892582,0.18019078583671108,0.017839553006516375,0.10348475503646498,0.072154166715702725,0.07963509653023286
21,0.11301253834770933,-0.41431765428529593,0.6368939278583416,-0.7435889237236066,0.9833941578471308,-0.9008295244592991,1.1500298802663473,0.5222340804607796,0.5219629338147577,0.05598277633501936,-0.20337415917340665,0.3145593956935667,-0.44444582746826033,0.5432469886986677,-0.5298204352031338,0.6362064250956087,0.2965765188270385,0.29732635735034385,-1.4121705456444094,-0.2501432461494155,0.5422440106319939,1.8437984169497212,-0.06228030901766784,0.07502992655774647,-0.0362276835327262,0.05740605913815912,0.014127535028080047,0.014167998612708286
24,0.026820359039912613,-0.4870967187678984,0.528993713811465,-0.8010117460402149,0.8655801965835086,-0.9558099042373861,1.0280295983175904,0.5070498982511155,0.5154678904796384,-0.006813804935966663,-0.272860022076056,0.2628639719122084,-0.47353123671336583,0.4569999965735024,-0.5546838715420681,0.5377532930625586,0.27823006494298447,0.272726302888469,-1.2748337193886947,-0.297745126792752,0.4168990831757977,1.5820205855503737,-0.07993378954944305,0.010935646543931747,-0.042903535871665746,5.735482846268653e-4,-0.023949725854987104,-0.02162087565192384
27,-0.005958077949949384,-0.4908029299550758,0.4935420124887241,-0.8231730679341365,0.8296621488721094,-0.9822361620150051,0.9916543612845417,0.4993929781120746,0.5053829928353979,-0.05717868279890826,-0.28817123587882904,0.21755980809097258,-0.4629135343599654,0.3939219455518887,-0.5335041676780317,0.46957363961482773,0.2769232491339406,0.25472167608342283,-1.2672459916912848,-0.3421927110818355,0.38994495284279485,1.5242626785133022,-0.09523652875751284,-0.0030966065624985738,-0.07767108603350176,-0.011064467130124355,-0.04385720993204541,-0.04258558411116119
30,-0.046716635069460666,-0.5449021063108528,0.4433556122449504,-0.86420720034091,0.7658166754426808,-1.0113291485775089,0.9217405408756315,0.47965214445990134,0.493469155979281,-0.07449768610380714,-0.33479356559471884,0.17698830973649954,-0.5053422912425782,0.3560400333653831,-0.5901942711471606,0.42870229967752493,0.2724880174410904,0.25700356675344327,-1.1364411013346463,-0.38203013018763166,0.29273841648836396,1.1068420228572031,-0.10962864584719752,-0.006760024844556662,-0.0871061514034215,-0.017547393859844593,-0.052099644264448824,-0.04261143306937347
33,-0.06317650170592536,-0.5617320431542012,0.4232556553134954,-0.8643853352543532,0.7332527455722732,-1.0118739648526178,0.8832751620712298,0.47540065980766383,0.48745956095661513,-0.07733504716859486,-0.3663355060602413,0.1485814517572458,-0.5190758965545973,0.3414581679646214,-0.5993939383505849,0.3972280103601303,0.2767633178159356,0.2573429706820214,-0.9621488405749432,-0.3968661940009484,0.22969469768372197,0.9750942568073472,-0.1282369839118327,-0.013341102393332095,-0.10890442357751068,-0.02471894436927551,-0.059433950046719926,-0.040952822885804124
36,-0.038660985901336084,-0.5170543543442401,0.46364451247199,-0.8262449138072663,0.7784175374494213,-0.9685437373153223,0.9255550533937809,0.47293404591344457,0.4819735856318826,-0.05879854916932503,-0.3507799692977387,0.13908488942200675,-0.5194052534404454,0.31225641941794197,-0.5931781292418099,0.40204456696999,0.2640381316803947,0.25949205127862585,-0.8561918347162583,-0.40110931741280026,0.19898981770953622,1.500761804404115,-0.18036466205605428,-0.01750893292736315,-0.12223269163482516,-0.0257048095694214,-0.06583368097427199,-0.0373575794312837
39,-0.1051890958033528,-0.5207934868105581,0.30425144427925316,-0.8012324412597408,0.5734695518783431,-0.934452568765277,0.7045552944357524,0.4172148327466634,0.4192343951203314,-0.07856215594262027,-0.3310966036147294,0.10297076135995495,-0.49782389022719004,0.25466420458069067,-0.560172421369391,0.3236105603862237,0.21805772992903066,0.21574840386981536,-0.9109993981840194,-0.3908374552233895,0.13657041032011402,0.6835335675024558,-0.1423764902695544,-0.007498808941146081,-0.12152017934083081,-0.019703426977382685,-0.05430600593286163,-0.027778273102156553
