"Variable","Explanation","Share"
"Cholesky","Cholesky decomposition or SVAR restrictions",45.2988047808765
"Sign restrictions","Sign restrictions of responses",10.3851261620186
"High-Frequency","High frequency information",20.6374501992032
"Narrative","Narrative approach",21.9521912350598
"Other identification","Other strategy (e.g. long-run restrictions, heteroskedasticity, DSGE)",1.72642762284197
"Top publication","Paper published in top-50 economics journal",13.0677290836653
"Central bank","Central bank outlet or authors affiliated with central bank",56.9588313413015
"US","Estimates based on US data",59.0305444887118
"Euro Area","Estimates based on Euro Area country data",13.5192563081009
"Other advanced","Other advanced countries (e.g. UK, Japan, Canada, Australia)",25.0199203187251
"Emerging","Emerging market countries",2.36387782204515
