period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95
0,-0.1269267677441549,-0.2798505211385709,0.006349332996427005,-0.3789835584722597,0.094219954424244,-0.42620096209812,0.13662310648774956,-4.870408965187828e-4,-0.006815476614755045,0.0019167016688166473,-0.013524439121302807,0.0064425643887420225,-0.016851641839499033,0.011054282287421223
3,-0.15267347927387062,-0.3811803069935071,0.06662848452007841,-0.5288170779113861,0.20777894502273458,-0.6000636548277923,0.27633914045619895,-0.0115618134887332,-0.09764373719913942,0.052255636679076525,-0.15149640648387577,0.11120967086516592,-0.1824173604387857,0.13982364590583218
6,-0.18038219128509203,-0.45888890754579625,0.08831877993029483,-0.6371199775553774,0.2620195135305088,-0.7237936801680123,0.34616337766517136,-0.029430912453173527,-0.15010575817710559,0.07195550956341806,-0.23511352896928367,0.14964259937785473,-0.27920208353325693,0.18838378671567274
9,-0.2084661376147846,-0.5222411024643273,0.10206837115752211,-0.7255890989786997,0.3040124219630184,-0.8244035319832977,0.40069378183903137,-0.057952059236968265,-0.20445332960069798,0.08363329484669357,-0.3187639751078929,0.17754911264094397,-0.36999544254828537,0.22543373094628005
12,-0.2483587632403521,-0.602918616160438,0.09691814460419079,-0.8318853687070294,0.32595393229771497,-0.9429773381901624,0.43567298681112715,-0.08649645502788639,-0.2569364089734859,0.08524758443802218,-0.37776543501085896,0.19379133793367423,-0.4429718248254304,0.2500596152596486
15,-0.2740123842845979,-0.6614715635029077,0.10397692191558248,-0.9109895287841261,0.35406631576369146,-1.031964798067631,0.47379635206325893,-0.10752972073766208,-0.29892277714854726,0.07828341878010414,-0.42049798169177216,0.2027545842885054,-0.4916772173690712,0.26465968622287755
18,-0.30667926279214147,-0.7213124282663536,0.09677620583482484,-0.9875643550118198,0.3671772302025315,-1.1171753584955546,0.4959854136071195,-0.12765429321634553,-0.33007968610493243,0.06712610718736624,-0.48094201901469125,0.19309642828674028,-0.5503388978264481,0.253393507658514
21,-0.3251371846931537,-0.7680241042352294,0.10244388984360572,-1.0490478440175295,0.38598885756295176,-1.185534518385893,0.5226471757485037,-0.14564657381869517,-0.36624767758330246,0.0582905611230906,-0.5095158615508625,0.1872988611774128,-0.5889744788252724,0.2635163107004414
24,-0.3746935101010797,-0.8391793752536458,0.07809376277941216,-1.137060451787766,0.37484946306548833,-1.281397412659871,0.5192526723708796,-0.18802668798003844,-0.42728443898344826,0.03679232363850122,-0.5857639476792732,0.1644791465767237,-0.6592028067746193,0.24443244700675046
27,-0.4192802191539313,-0.9072754098735064,0.05571043361222996,-1.219257836702156,0.37127301266944623,-1.3703709355269893,0.5244728963473835,-0.2231147614969737,-0.46921809389834074,0.021299585973972412,-0.6149028383523041,0.15778990536534113,-0.6988769119048835,0.22502415995685862
30,-0.45980332571450905,-0.9658633899123636,0.034516385283185826,-1.2893547842052386,0.36182078996578093,-1.4466226380061151,0.5200707723745056,-0.2462590215212764,-0.5135251509226146,0.005885590771970539,-0.6746128255548687,0.14297237353109488,-0.7678340233605145,0.22271640126550482
