period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,avg_SE.upper,avg_SE.lower,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,median_SE.upper,median_SE.lower
0,-0.20231569221792853,-0.43315560530201375,-0.009573815567774254,-0.5830018612945337,0.11545992603268526,-0.6534881989720253,0.17612566232254687,0.1957084186281581,0.226971576104201,-3.783796624572556e-4,-0.004066377646239086,0.0016460905349797994,-0.007816414958393554,0.004312327989842983,-0.009442119871193474,0.008276112740883246,0.006760468162420289,0.006746237262300551
3,-0.18774830498942557,-0.43039199850109683,0.07179635372279024,-0.5886234406639346,0.23830424237850029,-0.6652986888741169,0.320085288211994,0.26051929793130707,0.24324646941723552,-0.009743048931884518,-0.07292126359816326,0.05614762140353975,-0.13469390455898683,0.11162311396341948,-0.1700781546174075,0.13794671834490976,0.09593389905232808,0.09333515731436168
6,-0.22558202019948045,-0.5145260798408346,0.08199312316946501,-0.7023333311818364,0.2830128506031314,-0.7931657340578386,0.38101404227288066,0.31162881097450024,0.28710428985258174,-0.027367239653238562,-0.13034266311934836,0.06880604744253446,-0.20577279259654882,0.15388932809145736,-0.2495332715321078,0.19078575222271427,0.12547929478969333,0.11938761927170458
9,-0.2069686030649777,-0.5118385077376503,0.13530043026293934,-0.7109677858160505,0.35645534287021136,-0.8074251707344345,0.4646366773238271,0.3462760957073352,0.3042693052661934,-0.016374557853603533,-0.14722210885778225,0.1040789817533408,-0.24163241957645276,0.1976856739549931,-0.295492853680985,0.24875122505630426,0.14098611587327697,0.14175711647402212
12,-0.23337578577547527,-0.5755791968800433,0.14046951453450304,-0.7983915803107478,0.3828630032399282,-0.906322315258979,0.501083908481048,0.3782959663673943,0.3387949991215326,-0.01843138884479183,-0.18277168767340474,0.12020984808302446,-0.30418277920896897,0.22097426883373644,-0.357562119282715,0.2783435305563975,0.16933746974395794,0.1751148917996903
15,-0.2541419884690041,-0.6405832408208361,0.1646007573515819,-0.8895503983017162,0.43234717457611355,-1.008631024570862,0.5629602446038479,0.42039662151298024,0.37580112098665613,-0.03539355644271325,-0.2205158685962697,0.1202344380393846,-0.3410797892230456,0.24475338773155583,-0.39959419465765345,0.2881302949290468,0.18140351407217914,0.19045083393514345
18,-0.28538159523908324,-0.7063719382854864,0.1675714778077393,-0.97572683821058,0.4584064948294753,-1.104448811738846,0.5983784656144647,0.45013382293624493,0.40481736425158066,-0.0518777750486219,-0.27063945856958777,0.10643574966133967,-0.40132036449989833,0.2367012866784997,-0.47475669576618945,0.27990372909847405,0.20188255844178998,0.20051215253178975
21,-0.307117006593543,-0.7551516609609477,0.17249663727413345,-1.0397456198344528,0.4897247761970467,-1.1733896868253502,0.6400116069853432,0.4806410002962307,0.4266968558466293,-0.07481602184666014,-0.3169269744376068,0.09043709745720169,-0.45227402755214424,0.22683095114261181,-0.5086213597440621,0.2903805673944584,0.216861123269362,0.21707930305224094
24,-0.356682129090152,-0.8283498747011983,0.14513444270588327,-1.1271271445450768,0.4775860761395904,-1.267669777310073,0.6359009049326138,0.5026806501987588,0.44685528594183715,-0.118361289291125,-0.3944279625275007,0.06420412473313372,-0.5149237094308639,0.20553397681184155,-0.5845328205486039,0.2689464271030926,0.2374111255382414,0.23781566476359808
27,-0.38202214095257653,-0.87880032656791,0.15441817118569584,-1.1944133655341524,0.5118924198318093,-1.3417577262768228,0.680471767910093,0.5367819347431503,0.469833935303853,-0.14277961145232237,-0.3985386217927744,0.05345383226954162,-0.5646677955022276,0.19308355316212916,-0.6384090481552447,0.27771422013009106,0.24518154922917623,0.24765699489738002
30,-0.41101998735894424,-0.9190711196001835,0.1451105708311279,-1.2410773117702798,0.5160350760371067,-1.390168325796062,0.6918715367069794,0.5518471168182523,0.48047488003519323,-0.188645614184478,-0.47908478780402025,0.03749909869009087,-0.6373307305283884,0.18220114476229554,-0.7311705504000577,0.2509828679167595,0.25160235656144386,0.2527635127557296
