period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95
0,-0.026326253234317958,-0.15883393716435343,0.10600535492789923,-0.2466587345515205,0.19380507094359994,-0.2892695516750127,0.23870878597901601,7.265368772981784e-4,-0.005758455027499363,0.0542142664247362,-0.01241586093430756,0.1575538698519061,-0.01546211572381231,0.17601532793752883
3,-0.109495816117843,-0.37961420592521755,0.13782551341884308,-0.5587699530997883,0.3001998140782694,-0.6447679249810516,0.3897198578657072,-0.05969804430210557,-0.23706546397272274,0.12141560715942479,-0.32760711000815695,0.17565244206709696,-0.36666188368962516,0.23352925098680122
6,-0.32973398419121264,-0.6297180504046794,-0.01971361304396725,-0.8480592762138441,0.17978705133211784,-0.9534275891923364,0.2873084233291602,-0.23103438016335767,-0.46837744038343027,0.021955889839924386,-0.6272984744514529,0.09936185500002076,-0.7054206014958607,0.13026958117788318
9,-0.46484277300444826,-0.8163541398582344,-0.11338643397241716,-1.0465084751257037,0.10896613185007833,-1.1570487757449723,0.22979926881258533,-0.39529443930758806,-0.6479016937171787,-0.07552483626759987,-0.7804179720534172,0.020523252080143994,-0.8461751835861613,0.07546431588231695
12,-0.5934185280752802,-1.0054706610753845,-0.188032653094983,-1.274961162410611,0.05717120418102059,-1.4055266666587323,0.18367175302443375,-0.38475962102742245,-0.6891241833760362,-0.13686940489829105,-0.8666005269345458,-0.025339721578540753,-0.9673160302076569,0.03125727965188943
15,-0.7134670795430224,-1.1697294262300708,-0.28034901555476155,-1.4702494143065943,-0.015102358330181873,-1.615848400487714,0.12366001513350532,-0.476792582768668,-0.766171202863188,-0.2006387909824148,-0.9415928467575468,-0.08753370106430546,-1.0250287593980905,0.02699462297079183
18,-0.7801274847706667,-1.2691834263836343,-0.3229980893442945,-1.621440931929471,-0.05537642879843765,-1.777660090096433,0.0849627923294444,-0.5208556553064794,-0.8211681544260024,-0.23823506240169634,-0.9437660214508898,-0.155748700594184,-1.0115206878231366,-0.0012199881168724058
21,-0.8058669437307856,-1.315353768029277,-0.3372189657187984,-1.6743719161055834,-0.07063537482467581,-1.8382335501762912,0.06609974835588282,-0.5434153892785676,-0.8277330743870068,-0.25227265090715006,-0.9035269906451056,-0.09488090177306896,-0.9767756988785763,-0.017032696375820056
24,-0.8032234889184408,-1.2045866422594163,-0.38544991229604725,-1.4878035443018536,-0.12936031368311451,-1.619743556883734,-0.0010797410178407492,-0.543612245257308,-0.7399512136299167,-0.2814873874263566,-0.8915801676680231,-0.19804613232499174,-0.97412326490645,-0.12338922891908966
27,-0.806640927361532,-1.2140371317969725,-0.3888236970526665,-1.5015316503262424,-0.1316263363739051,-1.6349000115231502,-0.0015668474379400474,-0.4541070671268934,-0.6999850962903095,-0.2904299565909638,-0.8777810158816894,-0.19267602648608073,-0.980190537555858,-0.08999233101288584
30,-0.7552363462187875,-1.162700139029373,-0.33476476321029225,-1.4550407545029722,-0.06425126415943651,-1.59075700213015,0.07228801846094679,-0.39993962245365416,-0.6597698330207007,-0.2578409554693191,-0.843430790573185,-0.1561199894915506,-0.9571718594929964,-0.007342592097898559
33,-0.6774726078560939,-1.0930073796368687,-0.25053573328190754,-1.3910435313408225,0.04171506398399416,-1.5294237279355518,0.18684026429980857,-0.3076506209989298,-0.610332345288985,-0.21214629719443995,-0.8578675682105275,-0.03048010484476664,-0.9712570483480119,0.10517223204132273
36,-0.6312118642991394,-1.0605974669845823,-0.17862875341541307,-1.3713238271263857,0.13396116908452507,-1.5154374503773693,0.2881779391447063,-0.3582567386091259,-0.6877367253051482,-0.13116806655720872,-0.9127288214242986,0.09229854671672497,-0.9863566208742869,0.1889955556357482
39,-0.559105592124747,-0.9965326667516965,-0.0848448518752121,-1.3106257468988776,0.23635699023058832,-1.45576183327093,0.39660262943371033,-0.2722606717400419,-0.6099453832504382,-0.05122474668586288,-0.8308437034469927,0.16100730732129023,-0.9370668922855121,0.2759316977412278
42,-0.5211258923828475,-0.9549445099735205,-0.03602060717203558,-1.26727872953859,0.2849700272116516,-1.4109539855180095,0.4388848678982993,-0.20588254252704574,-0.48251600886289714,-0.002173077862028694,-0.6490933174637261,0.19836731799281,-0.7684193983902643,0.3035726211303511
45,-0.48631819751499344,-0.9274346346808121,0.0023544781016928426,-1.2406403774009158,0.3117281858008068,-1.3847378777994785,0.4655115873680099,-0.14907116260762887,-0.3986181444474096,0.0466854598936883,-0.5904748780052458,0.1386925375848274,-0.6794938237056218,0.27855664418717874
48,-0.36975069165669555,-0.8152267661016804,0.12544958039912604,-1.1327047627474942,0.3957357988124729,-1.2774232864025552,0.523957708268771,-0.003480469103130969,-0.1908955768297355,0.12012025346315919,-0.3657624943557285,0.19693406978198535,-0.3988545179906804,0.24183422659472859
51,-0.055716991123209644,-0.32146008550511884,0.20607346101870425,-0.495212415044989,0.3764481526330536,-0.5784395676824783,0.45899301937800235,0.09369772795797884,-0.03577935387141776,0.22679035113575083,-0.12070114756275782,0.3120143549565627,-0.1771308654324305,0.3530485727072683
54,0.04203250174204057,-0.22225968834379542,0.310623943561402,-0.3955725425446507,0.4832173875389761,-0.47911529227122496,0.5661135222729886,0.17408098357152837,0.042157278171149615,0.30808910073360984,-0.06020367942291091,0.3957862157997187,-0.1036413591986719,0.4376202904968051
57,0.10620804191762749,-0.1634335258043687,0.3815327224774394,-0.34031509060541293,0.5618515424532392,-0.42567097533903614,0.6467416640713808,0.21978063795961159,0.09020457243331964,0.3454361665104725,-0.006721945480443969,0.4273447244177978,-0.04963004706909607,0.46702861721705935
60,-0.4940842838974201,-1.0877973403775179,0.07377963893990383,-1.4760977917673683,0.44517422957433717,-1.6642255513147206,0.625111265428858,-0.5279966739921568,-0.974637398221355,-0.10414432567592694,-1.2667495438687721,0.17306375721446043,-1.4082750128722699,0.3073683540181007
