period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,avg_SE.upper,avg_SE.lower,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,median_SE.upper,median_SE.lower
0,-0.7269513777440445,-1.4313052104498292,-0.05615519340223989,-1.883129390276934,0.38667626405301964,-2.103424435677265,0.5919823197478403,0.6536493497147481,0.6921436946447356,-0.2610425044626863,-0.6924383720149847,0.09810138762950003,-0.9892695009718045,0.3743812620357366,-1.1322750323943425,0.471189437792348,0.4134991664852611,0.4095144345430449
3,-0.9019650015020978,-1.9485810437624196,0.10390045540218991,-2.627732232873844,0.7516248046975453,-2.957547337070085,1.0619241314362766,0.9735815600022496,1.0556168981036578,-0.48688652828686296,-1.2471758134696722,0.23750242165072466,-1.618670700194261,0.5564110556338497,-1.8960403443922975,0.6980824666337706,0.7047723515338697,0.7123049330805862
6,-1.4760311580243728,-2.809612333659086,-0.21394196781889938,-3.6599664984434725,0.6031248659695797,-4.078385630264251,0.9904633098932276,1.2318594340180093,1.333516150847065,-1.028737254073411,-1.8699597095263334,-0.056052123821524635,-2.5532629598776797,0.37820541274310965,-2.7701978632600572,0.6777584107024113,0.9114554948052791,0.8604740496355058
9,-2.0893792360067573,-3.594758732020866,-0.6361963700270227,-4.570256085650513,0.28739992946427934,-5.049528915949932,0.727051742625533,1.4236362094250499,1.507121486091181,-1.5044693144877703,-2.4831094888797027,-0.45884919500160287,-3.099072867486938,0.17078874158110469,-3.4399588741285987,0.39599736357466253,1.040254790290803,1.005018147783574
12,-2.304368981025061,-3.995287055120113,-0.7223998657458783,-5.062723410013819,0.2871757808003699,-5.577022532090438,0.7648609125193958,1.5649383076475727,1.628872470383808,-1.5906767695439423,-2.6607343674279074,-0.5183196387887745,-3.2756430853659886,0.05811839822637577,-3.577891980962411,0.370987324666471,1.079311258565642,1.0828776161848572
15,-2.3483318452267032,-4.101937107848984,-0.673739301871938,-5.2644584604517215,0.4303245289552965,-5.8403340591162065,0.9488351780053909,1.7116262186923166,1.7692719621470667,-1.6245339378352053,-2.837932366864668,-0.4976906045929599,-3.4422224929154805,0.11145616754363008,-3.7763868301858063,0.4470738455442973,1.1115257372868712,1.2044406718040754
18,-2.373422850453261,-4.184138259511414,-0.618943011433951,-5.378473523767442,0.5413655757887267,-5.976187334469798,1.082604899844935,1.766857523408872,1.8343255625313633,-1.6601828118763702,-2.883773861667001,-0.4684995138192085,-3.6120542776189337,0.15186799957587094,-3.965921238043834,0.47802073965382585,1.1826998345922162,1.2710527012879322
21,-2.4743779977973235,-4.44362972391778,-0.6461906301914934,-5.692008099061452,0.5444411582994314,-6.312537608929221,1.0920026838729322,1.834957925000372,1.9133593012808343,-1.725738821304355,-3.076692151173021,-0.3908933968173249,-3.721180764581633,0.17377890879792224,-4.060328078184849,0.5395203099010255,1.2217889655195433,1.2741846961695358
24,-2.5317600811966736,-4.492883912792299,-0.6502671957836734,-5.757231059879551,0.5434578169279078,-6.383035857586009,1.1000579412297038,1.8645359730832773,1.9255403725175813,-1.7441693332725126,-3.0139788732061126,-0.4129260294339316,-3.7517309836846175,0.25415582234171286,-4.156255767902219,0.5764344774695324,1.2685934729825972,1.28950433758325
27,-2.7893039438442413,-4.939508161593885,-0.803663123824749,-6.3411697604885875,0.47005843756876364,-7.020796950165337,1.0669730015401193,2.011673784396212,2.086443985577486,-1.8018869671352935,-3.0984729912893476,-0.485548709887487,-3.9221772178046783,0.1694369955747952,-4.343015488683646,0.4925114529473893,1.3476660272467975,1.3678007350363792
30,-2.6892702663203005,-4.862614289317004,-0.7378856281686732,-6.268906502042271,0.538999947305944,-6.95672246391338,1.1345119894359261,2.007663801919899,2.099318488413036,-1.7202351106307816,-2.9893650149513116,-0.571822107040852,-3.8431801347343777,0.26857398335943095,-4.404908246721969,0.5984830365517797,1.3850532564910607,1.4197572386783257
