ccode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.85492197,28.4451646,35.36788787,40.0600551,42.38024049,48.91717311,45.63078261,48.87564437,51.54258581,55.50200273,60.15523792,72.19291409,61.67381255,52.5539286,
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,40.01840268,38.1575374,29.15835358,28.94603735,32.90555832,31.03986362,36.62810297,32.71877226,33.8832945,32.978683,39.29305274,38.31994995,39.55632921,40.55297162,42.09155704,45.03464237,43.27425483,38.56999233,45.3503009,49.69615504,55.88609489,56.14129716,57.81330665,58.62768914,62.40253551,66.26433149,64.50855653,60.73073005,60.30590152,64.16064933,64.43129399,66.68592313,74.264991,79.08234429,68.03411367,63.63237785,61.28148883,56.02832784,48.62259592,47.01061865,44.33360506,41.65418746,41.97578594,53.80244937,45.45628849,38.14609905,
AUS,19.11635466,17.6294526,18.64740274,19.28348586,20.11152416,21.12663304,22.38085473,23.09591259,23.99739806,24.82245901,23.27760466,23.61562469,24.66945024,28.36551586,27.85692986,27.33871307,27.85201804,27.38303379,28.04774506,28.65171662,27.84142573,27.92501871,27.04657762,28.78761641,30.31457372,37.02456528,40.29187287,42.77587453,46.7147505,59.25490462,60.55696265,60.11619952,61.8614585,63.28126496,66.76987383,69.77374858,71.49676898,75.31873044,79.11066689,84.05447935,87.53517869,88.35907871,91.21770335,99.13471053,102.6115458,108.4330782,113.6015097,120.5118032,121.7134203,122.5074554,125.1906697,122.1598742,121.1710748,124.6899615,128.4132289,136.3063051,142.5758134,140.531327,139.8309019,136.0245189,142.0194904,138.4800987,133.8547261,
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.71336188,88.52152557,87.80636589,87.76584573,94.32410576,94.43760642,92.91988389,95.81296636,97.73957467,98.52832394,96.06109929,94.22379903,92.55775212,87.55558785,85.89120788,83.13573566,84.26289373,84.41367028,85.98978127,92.91223998,93.30339431,89.61117902,
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.86885403,22.09960381,20.76648582,23.00186901,26.0320151,22.92504408,18.31855494,
BDI,,,,,2.669223312,2.594072395,2.54206847,3.523492084,3.795383656,3.072763324,3.965328098,4.855878537,5.053391,5.330711022,9.197668218,2.931887901,3.846094178,3.220491008,6.193156265,7.415154058,6.888882446,9.775013702,8.260664547,7.027161279,3.971109663,3.573358503,4.454778026,4.341578209,5.956344924,7.005425957,8.614541103,10.74847332,10.72101083,14.031198,14.73611674,12.26566371,14.23340935,11.87170362,13.5352074,15.39020641,17.08001445,16.30283234,20.31026273,20.13272616,17.35074775,14.54366833,15.83088022,14.77452426,13.66291515,14.63027074,18.36191803,21.55991025,20.20492546,19.38982093,19.29341202,16.38809242,17.16990726,15.46373354,18.03264392,20.70449902,23.63770321,35.12280989,42.23333294,
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.29922874,64.13292449,62.53089436,61.84259333,63.59777008,65.8336191,68.44384869,62.75830286,58.67877652,56.80149342,55.42096956,54.73869728,56.40806353,57.89009668,60.63286564,63.37673015,65.096042,68.08574184,69.47138797,76.62154363,74.47665976,73.55928037,
BEN,5.01243664,5.53633105,6.68049505,7.136377711,7.351051453,6.362138676,5.724098585,6.066568627,6.358768762,7.627221825,8.023575444,9.250576324,10.07107635,11.32805842,12.32435379,22.36560877,19.2348025,20.40461982,21.51728112,25.1699104,28.62907311,24.7977724,30.22083544,31.83996194,25.44393576,30.95551126,28.6602538,26.57859881,28.56228675,21.58168211,19.12768904,15.38381026,11.67447662,10.51454471,8.452625141,7.428405154,8.477640746,5.415282989,6.913210987,7.142326952,7.761429738,5.136080002,4.833189689,7.671284648,7.804471976,9.034310336,10.33506666,12.30918321,12.78056591,15.12971165,15.83483768,16.57434044,15.64759241,16.45394985,16.73710914,16.73570644,17.48237228,16.57791951,16.74641544,17.61070254,15.53712076,15.58607928,17.10002835,
BFA,,,2.462386861,3.42840311,3.988464001,3.936689408,3.395956535,3.372836767,3.558227041,4.573793891,4.443413948,4.595926133,5.016387905,6.089106688,8.509340388,10.75412529,13.8870775,16.58217118,16.8058118,15.5070847,14.78187387,13.82731186,13.16061357,12.79558658,11.94865647,13.34491424,13.90426007,14.47041695,14.90149302,16.45133691,16.90694303,12.46412868,10.92607806,9.773838345,7.026029493,6.785180138,6.912335601,11.55207851,11.01929683,8.992765855,10.33639705,9.708668108,8.858713851,11.35347814,12.95342946,13.29620371,14.67788443,12.78455818,15.0909569,16.0831018,15.6345263,15.37034214,16.64245917,20.82103798,23.40560816,25.03777056,25.8099456,27.42160189,27.14971371,28.34785789,28.67389053,29.56429093,31.31693293,
