ccode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
COG,22.22909707,22.82257623,19.85293621,22.32227134,22.6153794,20.12345265,19.46494465,19.28082522,18.05305466,16.92453813,16.28552632,16.0687657,15.51497585,15.31539735,15.09155429,17.17396594,19.87132557,20.70691489,19.87947554,17.8772549,15.53718091,17.3900683,18.47239437,19.01288789,18.83735003,20.72970746,31.67958152,27.06705793,16.24036419,14.73396288,15.69225722,15.99674776,15.75631118,8.68569925,7.698094385,8.112384018,7.547203201,7.857711883,9.739153117,10.90174567,4.780545256,4.897427135,2.866074398,3.635840142,2.932649239,2.210355224,2.010419762,2.170017922,3.213301677,4.872240315,5.979740079,7.1693854,7.412754333,8.878672805,11.15985253,15.22725217,17.93956499,15.78451445,13.00357811,12.63997668,15.55643597,13.90263045,,
COL,22.94862544,24.27270635,24.32805446,22.59135449,20.5169986,20.64211083,21.2949444,21.56820979,23.52783671,25.61399112,25.80215112,23.70193603,21.75314059,19.00353677,29.61840538,29.7866248,28.59488605,27.36132196,27.80809401,27.19737352,30.46462293,32.82226458,34.17445575,36.73227494,37.32248539,35.62752083,,25.48998188,23.22072451,,25.91059165,23.40430918,25.24216003,28.67135265,31.07361273,33.66342958,35.32348263,36.47584514,35.21855052,31.65418344,20.94747439,21.9066126,21.52330896,21.07623501,22.19913866,22.75271861,27.3293272,30.56656822,31.34288213,30.05884981,32.35295864,34.95997389,37.74485153,39.48369169,42.3846057,46.9053936,47.05419781,49.8054214,49.56731775,51.55517292,54.34732824,51.13143617,44.17331638,
COM,,,,,,,,,,,,,,,,,,,,,,,5.86445275,6.161325664,7.871976606,3.878661703,4.139129356,4.685620773,6.459663596,5.820091249,7.770368471,8.15258728,8.331819008,6.939440727,6.52697314,6.385460591,4.4692333,5.301657943,4.277679733,4.897286646,5.102788248,4.240622901,4.503047336,5.073291582,4.091710311,5.175239191,4.914442729,5.350409305,6.353435392,8.783337324,10.47759847,10.62819359,12.0894197,12.80507522,13.62886534,15.8220262,16.1429577,16.45922046,15.77484964,15.48760281,14.98577495,16.08715144,16.78709515,
CPV,,,,,,,,,,,,,,,,,,,,,11.97776842,13.80578082,12.5984544,14.99378449,14.90160949,18.8934226,18.45125193,20.86778387,14.55163842,17.23700852,20.74168753,21.73594108,24.11439243,19.0186805,22.72122751,27.5923534,26.9264695,32.22177992,32.16727998,41.33940629,40.13151885,31.05413426,33.95229422,35.64025858,37.83950903,39.1008095,44.85596424,41.77845045,47.71569883,53.12623429,56.47074341,59.93140926,58.56562339,58.54032969,57.65074812,56.41116703,55.10423701,55.42405954,53.66070554,51.63855912,68.45603245,69.38695401,58.07184491,
CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.86021913,37.86298409,43.77237764,49.38060624,47.65335108,44.31413316,46.02004275,47.45132058,49.72992436,53.09844531,55.12724843,58.63805377,59.68590601,60.30445947,56.17810651,60.13553309,56.58956958,52.66219906,
CSS,12.58755709,12.62670444,12.2174019,10.82906556,13.32590337,15.31924085,15.48548363,15.72110131,16.38340876,21.03278186,21.85575032,22.90776808,26.39121718,32.72724112,27.41958435,26.87998503,27.45028317,25.88708228,27.37618565,26.47698415,24.76969275,27.19314204,29.22411905,32.81405119,32.5532109,32.22364409,32.98951153,34.64612302,35.95509767,36.81441989,34.69510241,35.93003299,35.54238857,33.64309816,32.15716682,33.7090991,34.31118416,33.18750098,35.85318673,36.21584126,37.06913476,39.38801013,39.59177571,38.92283014,39.45551832,39.15728555,39.6459352,40.789875,39.36413164,45.29881431,39.1536601,37.53352959,39.89506473,39.83191632,39.57425547,41.38653125,43.13258182,42.78025115,43.16423463,45.34261595,52.43257341,46.3799317,39.29553738,
CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.4192807,149.4930254,147.1952745,147.3384985,156.676026,162.9373167,180.6804515,212.2088362,226.3554702,234.868939,243.2152691,249.9179945,255.3102765,252.5908969,244.2356304,217.2077843,192.4203302,136.5407343,107.7105619,107.8574188,90.03262645,75.63811787,
CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.59419096,65.74792811,65.03239354,63.35994708,64.56208042,56.79050683,51.46866621,44.93692927,37.11072666,23.66496692,24.33407758,25.6796961,29.22421195,33.84078931,38.68201153,43.22704719,44.97643084,46.33075958,48.32289308,49.40854682,50.60790849,49.45672946,49.54198338,51.05880435,50.90670769,51.32791857,50.27132877,53.06821651,53.73159372,50.52039697,
DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.4173232,111.4307275,109.94054,106.4414458,105.4492617,102.0703708,97.12860315,97.0048184,98.76981515,88.49130401,84.89827589,83.80707461,82.26698917,79.30778874,78.12139397,77.45452573,77.59439391,78.18015421,79.38335286,84.9664045,84.18736956,83.43367356,
DJI,,,,,,,,,,,,,,,,,,,,,,,,,,55.94297133,,54.84809318,52.70610223,52.94457129,45.44448066,43.13834765,41.17771683,39.60684128,38.3092918,42.84729131,44.347628,43.17632309,46.06099597,28.85506551,32.06543541,26.44042206,24.39621988,22.58445017,21.11189018,20.07511573,20.18291193,22.5217827,24.33560795,29.34713033,33.11016514,30.90883396,28.93089884,22.16398555,22.19726628,21.7028461,20.43712656,21.17275426,21.63322199,22.35146748,20.88124653,18.63515078,20.10351508,
DMA,,,,,,,,,,,,,,,,,,20.87730913,22.21435888,24.74419893,25.32398163,27.29081691,27.9218747,29.68212547,27.59122938,27.59368051,23.60898785,22.82477645,27.86335642,34.3074818,38.82083624,39.50872994,41.77321349,43.68143969,43.77663524,46.49599978,45.42532027,47.22652096,47.09538087,46.86285236,50.43326632,47.85564204,48.16869157,45.37726282,45.45469216,48.58615746,50.41464202,49.12068981,48.95660046,48.91654676,53.10260776,55.61499738,59.1161341,57.62100491,53.67474167,51.30624182,46.94585492,51.00952286,47.17053436,40.40838204,53.24354699,50.06003122,47.02808992,
DNK,,,,,,,48.7282561,47.9757321,48.38496114,48.55042134,47.04061342,46.36989211,46.77830389,46.30861691,44.90344937,47.75296647,47.65248824,45.37260813,42.76078512,39.7599332,39.27455965,37.51051374,36.25204709,38.29775113,40.72097213,43.52883703,54.63672158,49.61536127,47.89328017,50.75329155,50.33059434,41.86881115,39.34457423,34.24086147,30.26376851,30.34574321,30.99125635,31.5121079,34.32055777,34.08071682,131.9684843,138.830011,141.6030651,140.0953724,145.6473996,157.5438171,169.0444789,184.4924334,191.1885387,201.2587222,193.039736,187.2410448,182.0962478,177.015373,173.3271593,169.9677082,166.5609788,161.8070096,161.2577019,161.3859909,163.9370075,155.3908544,143.3650221,
DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6407583,19.64943663,18.69262141,20.7082666,20.72667962,21.54979535,22.71013498,22.90521799,22.49287736,23.38975111,25.20387323,25.96680749,26.85246478,27.26287869,27.21165507,28.16249314,30.511875,27.94897662,27.85761079,
DZA,,,,,14.94764169,18.10898792,15.54507662,17.23931839,23.52473391,32.18621504,28.44051036,35.00871245,47.72993733,49.13802343,42.00649728,49.96541139,53.55384694,49.90439961,53.82227679,51.98721525,48.50830715,52.57105497,62.16137017,65.06718023,66.49738339,68.72982799,69.31185043,67.53259218,68.14677827,63.19371516,56.14321672,46.28916649,7.254817644,6.617753019,6.489104896,5.199387035,5.364902709,3.907416857,4.563822482,5.388089302,5.965639986,8.014264515,12.19979248,11.22232538,10.99777897,11.92915054,12.11709798,12.99010389,12.7957995,16.26580586,15.20824099,13.71592242,14.02530668,16.49789106,18.35197806,21.71173301,22.8758054,24.40295773,24.90139579,25.80757388,29.54528267,25.8147408,21.10047856,
EAP,,,,,,,,,,,,,,,,,,47.10028125,47.02309578,46.83976427,49.79437314,52.86866379,53.74415192,55.34084916,58.1056418,63.2440114,71.6922332,72.57217761,69.33904135,72.55125388,77.03636635,78.84874744,80.08886735,89.42453927,81.03019835,80.87513661,87.61953966,95.54371402,101.5598861,104.9066577,105.469505,104.9542933,111.0374418,118.1073278,112.2047002,105.9490432,103.6389584,101.5347484,98.23578711,111.072127,111.3697854,110.0963533,116.1029504,122.1572168,128.054193,139.6821937,142.3093737,141.4006661,144.854175,150.7074227,167.3041532,164.2882921,169.6966196,
EAR,,,,,,17.52011691,,,,,,,,,18.61949768,,,22.15824892,,,,,25.02020881,27.18533446,26.51216952,26.10183063,27.69800032,28.31092508,28.99370324,30.43153218,26.7707434,,,,,,,29.77794649,29.73822728,29.95034561,29.03274694,28.36563083,28.527177,30.09390526,32.41274645,34.46352216,36.79623443,38.51188965,36.60077657,37.97603351,39.22844445,39.97974094,40.93948188,42.24873329,43.96611461,45.95367887,46.38281462,46.09694985,47.45287695,47.46405255,50.23183343,47.66584171,,
EAS,,,,,,,,,,,87.34758244,96.69074482,106.6310569,107.4329841,99.76570799,102.3236076,102.6299628,94.51517183,97.07265023,95.74008108,96.56002286,100.0025047,101.3721641,106.4469207,108.7944984,114.5885852,127.0670296,140.8427002,146.6599947,150.5291773,155.4433753,156.0081606,158.445525,162.7313403,164.5928669,160.8936332,156.7767306,164.4753121,172.3910726,176.0036881,169.7489688,151.2523993,149.6750431,150.792938,143.7053363,139.3107167,135.7906402,129.8033383,127.6357325,134.4574803,130.8054486,128.972536,131.1318629,133.7852127,137.5886018,144.2576112,147.1210041,147.3536242,149.3214564,155.40169,171.5209986,169.410338,172.575946,
ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.42279822,45.3076136,45.46069801,45.24389893,46.93504034,50.98667125,55.69863447,55.3620925,54.44856984,53.34588076,51.28884978,51.07506647,57.41829502,53.28165731,,
ECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.32961215,91.98862401,93.38925526,95.36097335,99.38584303,103.2366379,107.905907,107.4667623,110.7778159,106.9722398,103.098922,100.7061989,98.00618203,95.63823028,94.48134405,93.84611581,89.65292319,88.72179542,87.80229997,96.58026815,91.52456322,89.08887706,
ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.07338282,17.23809087,19.75732708,21.33376368,21.80097734,22.84918462,23.72306531,23.92433578,26.53761191,27.49061116,28.38306914,28.98463766,29.49310731,29.3088888,30.79023233,34.2771582,38.30789495,42.48932381,47.36323027,50.22822627,52.87331277,
EGY,17.4631349,16.75824176,17.83373154,17.41829168,16.07326007,14.89737365,13.5975136,12.77418337,14.17093344,14.75172567,12.29072964,12.3678052,11.83175336,10.27770828,13.21731691,16.60008292,17.10169138,18.71764577,18.32074352,18.99575089,13.93637654,25.89510827,24.7087638,25.8481203,26.21582278,27.19865952,29.22426304,28.89514563,28.13327922,26.53012987,25.5256785,22.05863111,22.27045291,23.76578608,27.90365714,32.73382353,36.53439407,39.69360662,46.55501044,52.00182055,51.95327845,54.93114023,54.6553972,53.89762874,54.04291428,51.16543405,49.29097974,45.51522157,42.79751378,36.09271335,33.07229522,31.15492329,27.38844973,26.2224395,25.60668054,26.31639376,34.13486263,27.06982467,24.29527907,22.8487309,25.78947425,28.23075439,30.84700212,
EMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.21907669,88.35625542,89.29568251,90.28062297,95.11421396,98.80474803,101.7891756,103.6366219,106.2875025,103.5146861,101.6690359,99.57727381,96.60375117,92.47106809,89.79637764,88.7683997,87.71288486,86.46990552,85.75145269,94.58732991,90.1525591,86.78937432,
ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.09591004,34.64970713,35.21082608,46.47665148,33.28628614,29.19470753,29.03011661,28.6125798,30.20946859,26.94248933,27.56323901,25.98826924,20.73574904,22.06097637,16.76807275,21.28053768,17.56470221,16.15971775,33.98680589,53.24107738,,,,,,,,,
ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.93470073,99.31839457,106.5994321,116.0122266,135.9833376,156.7601061,167.9479777,171.1879056,173.9768994,172.0336084,167.8007225,158.1763818,146.470039,130.1533593,119.2059676,111.7523914,105.8383197,99.52087412,95.03297035,108.5534535,99.48727389,90.04209074,
EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.30698251,56.58474144,76.23710934,83.75184604,89.67350228,101.3879564,92.80852322,78.02842386,72.92086783,69.48416311,67.27278513,68.96781705,69.79981065,64.1321119,61.95006543,59.72326396,63.36432334,59.31007028,57.41894663,
ETH,,,,,,,,,,,,,,,,,,,,,,2.433363845,2.422328924,2.179579143,2.154439691,1.903406534,1.840228042,2.367518737,1.707238453,1.63895985,1.621618713,1.47436649,2.123263899,3.577976874,4.961936139,7.733070861,11.93991734,14.3454138,16.15769009,19.39178966,17.62386403,17.77854679,17.97811769,17.50062346,16.52918653,18.86578926,20.44932507,18.52507603,17.71014835,,,,,,,,,,,,,,,
EUU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.24498083,85.98963089,87.04714731,88.31995103,92.84318474,96.52398217,99.77572416,101.797891,104.8759587,102.2600066,100.6022446,98.7885623,96.22966735,92.37464654,89.70617705,88.85438089,87.6280832,86.29447403,85.38043209,93.4118728,89.22446247,85.31008385,
FCS,6591.94376,6158.445837,10.65480085,10.88747709,10.6582158,11.12601701,11.1634745,11.21943605,11.83960535,11.61402927,10.31464386,10.82846014,11.4612181,11.97821523,10.07961032,12.98872081,14.17019846,17.08887698,19.33278657,17.01925779,17.85606672,11.46820184,13.02448003,14.79497482,12.90461065,12.97371002,15.71796528,,,,,12.37378937,13.91234368,12.90086372,11.54463029,10.87299582,10.36719068,11.85526169,12.29041091,14.67587288,13.22041195,14.0227661,13.53767753,12.79637921,11.72001588,11.86925323,12.24947996,14.96740299,24.20688227,24.0220982,21.05268394,20.35465262,21.06154534,22.89378159,21.18648335,20.13778424,20.99446231,19.67796197,14.69348067,14.90807647,16.91285315,15.44999141,,
FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.64910515,55.41920442,60.27057839,63.72592247,69.24590283,73.39861305,76.27758296,80.10037835,86.3029376,88.13508874,89.37868059,91.77365361,92.93709408,92.89598206,94.44899118,93.99957705,93.36900853,94.24874284,95.38351858,101.0326082,99.38124342,95.38208196,
FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.43373104,55.29912125,54.74255602,61.1134717,69.19158479,79.06668897,78.74967828,85.91135089,89.60556722,83.46154955,75.38807326,76.80125559,74.88874654,72.59697565,78.76592863,84.42514511,86.20668127,92.79632478,102.2111327,123.3090488,134.4392556,118.3115386,
FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.97940297,76.07063621,75.5721282,76.61704476,80.14887551,84.26005234,88.8146454,92.52507052,95.06806884,95.8849069,96.8263222,96.55463126,96.0201947,94.08926092,95.07367069,97.38967625,101.3718189,104.2724048,106.6749534,125.4214714,121.0106398,119.9641013,
FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.59355127,27.52011465,28.13243038,29.97992901,32.1381118,30.69166526,29.01055688,20.84718115,16.3172908,17.97232721,19.76411399,20.67587251,20.99715251,19.86736595,21.08713786,20.5887236,19.49845423,19.33514174,19.65169299,21.16758417,22.83011243,22.63162077,22.76262809,19.82050211,21.65793269,22.09068627,22.59655172,,
GAB,8.216216145,10.72604105,12.57042023,20.26410137,15.97050298,13.94594595,14.47020107,14.19161677,14.74622366,15.6421025,17.76312452,18.54519505,22.8359447,20.56424581,13.11998924,14.41025087,13.87081074,18.06925529,24.10645401,19.13651877,15.76929883,16.29252025,15.55858356,17.728546,16.18243156,20.20633122,28.53423263,29.74003851,16.74835827,15.478772,12.92231272,14.63402793,10.94436113,10.31525176,6.755996566,7.921784098,6.589329854,8.680582805,10.77950851,9.963671195,8.696552298,12.52132357,12.31095356,11.5183479,9.270946511,8.463617664,9.553023111,9.952229099,8.661172309,10.09111298,8.209996832,9.527671612,11.30209567,15.0128213,14.54172512,14.51614723,13.82898955,10.29036221,13.08269307,13.37647797,,,,
GBR,17.33894093,17.49324689,17.43805355,19.34336083,20.67206454,20.62365946,19.49659583,19.82421875,19.71046771,19.35005255,19.81598134,20.75254683,28.55085667,33.56490317,35.19952825,28.31414609,27.3619158,26.08476554,25.59901349,25.8619442,26.21587268,30.86013713,34.04858657,37.07233105,42.23567933,43.90624549,77.61064168,82.77104602,91.57544594,102.930035,104.8059603,102.3337644,101.6779981,99.87622468,100.0308644,97.33402203,100.208573,102.0591459,102.5212794,105.4622678,114.7103071,119.7957483,124.8686672,129.6441167,137.1326373,143.1234625,154.1013208,170.3619685,191.1748243,192.4382916,184.5951797,170.3662239,160.7570172,149.550821,135.5121963,130.8677342,132.3455736,133.2699154,133.9712699,132.5633718,146.9855362,138.4610602,129.8897521,
GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.43633456,32.71523661,32.32996901,33.67957154,36.41034204,40.66505664,45.81196481,49.10129989,55.07378628,55.84995756,60.54431278,65.64020011,79.87617587,73.76783967,63.57140366,
GHA,4.568469505,5.827956989,6.180344478,7.581818182,6.957928803,8.519781719,8.451910408,7.566489362,8.658823529,9.210394803,8.25143869,12.584,10.06039076,5.343330477,5.676824034,5.784402801,5.902696905,5.018364239,3.521156962,2.818864715,2.192616447,1.84738248,1.802350464,1.542268445,2.209409338,3.108398825,3.628109888,3.154155496,3.139281352,5.844565464,4.928698646,3.657340448,4.941929269,4.838175667,5.250032661,5.073564508,6.005079066,8.195094024,9.358847166,12.56208324,13.97149132,11.88439126,12.1495373,12.49304876,13.17248937,15.54406881,10.85758702,14.48843023,12.61349047,17.73697326,16.66077481,17.19528265,18.07171286,15.29237165,16.5048904,17.93356714,17.43563885,16.09951998,13.7141434,13.93721122,13.05852886,13.05443112,12.26180636,
GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.501477831,3.60923634,4.160803282,4.37459875,4.956817024,4.850781118,4.522554331,3.65340164,,3.988375577,4.041163558,4.148679633,4.226854457,3.785494778,5.656098216,4.604761393,3.262639738,3.239431837,2.659868992,3.942701597,6.817893779,5.918579641,7.341819774,9.935702803,11.82084908,10.7722594,9.115691528,9.651737671,10.29189685,9.960073759,9.222773269,,
GMB,,,,,,,16.16212793,16.63943991,17.81924198,17.22635494,16.38366223,17.39737991,13.06587838,16.359375,14.6918853,11.02521008,15.66679389,16.97141419,21.12165179,21.34923046,23.870818,24.18778782,21.08157709,24.67861778,25.11799874,24.34040617,15.09178594,11.96694003,11.82257749,11.01988671,10.99267546,5.176671669,3.727217008,5.477087416,5.626659601,4.836178454,4.373222081,5.445033797,5.709563808,6.606307188,6.741074287,8.321402009,10.68994156,11.75794416,5.032580387,5.852238866,7.212918964,7.548512304,8.73270873,9.166452597,9.491080142,10.40755212,10.07965389,9.981000856,8.831185556,,,6.092216305,7.052268045,8.202172458,8.152222434,8.92115016,,
GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,19.43924485,16.72224025,16.90408435,17.63776926,22.00449365,13.33293933,10.15684074,11.88735762,14.28671905,8.680173252,6.692750642,7.082267377,10.31133005,7.134224776,4.59919182,0.402580562,1.452777069,0.738488917,1.248031883,1.59629586,2.335206936,3.473850567,5.620541606,4.751955424,7.034745032,9.13882358,12.9668445,12.71519838,14.45693333,8.552990902,7.398458983,12.74800548,14.30930756,14.79897664,16.20794878,15.47337807,16.60092266,
GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,23.39150039,31.60580111,26.79133769,24.62591214,27.65507694,25.77133183,38.23269584,21.2194973,5.165654493,4.020116937,4.79762403,5.210355743,4.654521426,6.461722235,5.566367889,3.633416174,3.470077572,4.169054371,3.588791701,2.722154318,2.148532638,2.372933931,2.802672966,4.104054824,5.31752124,6.078285315,6.406482044,4.832049941,6.863157223,8.108476789,12.52625259,14.94685826,14.1214331,14.18824915,15.23950828,12.87089031,10.55004019,,
GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.08139299,53.34159654,57.15326874,62.29124576,72.00528771,76.27733589,84.54042591,89.28990941,88.01806928,112.5457185,119.2991618,118.5652649,118.6111879,117.1206911,112.7863482,108.5984669,100.9178067,91.74433735,81.0145033,82.51394635,57.14919385,52.55531552,
GRD,,,,,,,,,,,,,,,,,,26.32836736,25.17586634,23.30545959,24.15780045,24.0523783,23.26588786,21.40306503,20.68127771,24.21683218,30.02240643,32.5117312,33.33054858,37.82153112,36.05753384,35.4070944,37.61732876,49.44943346,47.23172734,47.33219911,49.99329236,55.52392988,56.86970867,59.0021571,62.5581236,63.08051819,61.43224629,58.46474544,61.61798672,57.95106496,64.87666684,68.79352477,70.07704869,79.3771165,83.97993986,84.87602087,82.80481368,74.25666023,65.20633553,57.32142857,53.72278409,51.06690575,50.64570309,49.54706523,59.39716954,57.28661151,54.01079349,
GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.76671319,21.56157222,26.65440813,26.63084525,25.76644405,28.82849313,28.64102595,27.7613593,25.75636006,24.2180601,23.96393766,32.17208304,33.13094222,33.49615206,35.26220636,35.70284931,35.16763636,35.04890233,34.07723301,35.85270446,35.82826506,36.84064015,
GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,,,,,,,,,,,,,,,,,,,,,17.94157825,21.81834827,29.38665284,33.66648501,34.78033465,33.59430769,38.04253632,34.24932276,45.35884595,28.2984818,29.60979367,18.73049325,21.47209954,20.89848285,21.85246081,28.00713484,42.04797798,48.24011434,56.06949176,57.07515943,57.1228498,60.72085952,62.11910155,57.5479804,53.20104886,57.12242743,22.65816058,22.35727946,21.8393975,23.34803987,24.51380231,26.43719889,28.76781323,31.97334079,36.65987405,36.50224106,34.95272841,34.06938663,36.57044241,37.09274713,39.17571804,30.82862472,20.18756408,
HIC,59.8655749,63.07682628,63.86201592,67.56403102,69.74858199,72.0815272,70.21046957,73.05852808,74.41028637,73.53231804,77.5746616,81.29359947,86.99150014,,,,,,,,,83.93232297,87.49899575,92.08672835,94.14380117,99.90547675,110.1072557,116.609799,121.2923559,125.6088093,,126.8817159,,132.5752163,133.314394,136.2171116,136.7106774,143.5123142,150.9219207,160.1181149,155.2546623,138.8521282,134.2095472,137.9645737,138.9094509,141.9558623,146.8792809,149.2660668,142.7041991,147.8985465,143.6774042,138.5667341,138.9061146,140.7402931,139.809785,140.5189438,142.0708774,144.5087123,140.3799596,146.9013803,163.775094,161.1630695,,
HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.5382341,137.2553785,129.5210189,134.9088624,143.5186403,149.4122462,156.667889,169.2800071,166.8047068,152.7926523,150.3513642,148.9766313,145.707823,146.2314644,144.7619641,143.1276998,136.8003204,136.6797429,140.2857527,155.4261611,185.5819127,202.2927455,198.5315051,218.1603921,233.2110012,207.8993282,214.3001788,223.3718664,219.9081233,236.7400716,258.9028417,259.2157126,263.5903357,
HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.68356621,36.0320656,37.19104638,37.81436819,38.84175807,44.72935316,52.27042007,51.29183267,50.33822017,47.46224708,47.30923103,51.27564823,54.72268682,55.0869372,54.59360022,57.83540236,57.7901975,62.89249755,63.99781295,69.89388669,66.89297022,69.49473969,
HPC,,,9.26035243,10.08574003,9.956461104,9.450299117,9.241641424,9.580922322,10.34277956,10.64943601,10.57969588,11.25647259,12.06571076,12.72550412,14.12472129,15.57554829,15.85131841,17.24034292,18.79544425,19.91923718,20.17360287,17.74608047,18.06936819,17.46799809,13.7133771,13.73669453,14.75830635,15.87464509,13.41179604,12.75992293,12.26776629,11.38418638,11.2374992,9.907172994,7.789728851,7.814704066,8.336369344,8.521525532,8.693757324,9.082774862,7.657510975,9.51471525,9.493080713,9.950701123,10.13027626,12.15570241,12.65211157,13.28399621,13.55076775,14.7005565,14.78973889,14.7827636,16.16577273,16.67514845,17.39667866,18.71622812,19.03026005,18.63353903,20.11062292,20.53529697,17.60595146,18.06155089,,
HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.46717026,68.32016795,67.04475322,63.35635185,59.14670384,56.10353817,54.43646371,52.92118626,59.3522496,52.81659333,50.26097654,
HTI,3.675135585,4.131835051,4.0936967,4.293222338,4.051878805,4.041989312,4.010097884,4.538851693,4.372109809,4.581180561,5.955676329,6.034564498,7.900430108,10.87266495,13.91390166,15.01628999,14.47667804,16.14665259,20.80876617,19.269665,16.53737534,17.66750034,17.65664089,14.81080315,14.36676577,13.60697721,11.56019845,12.65298945,11.79605336,13.35035277,11.63069426,10.30148808,10.14785466,10.86391503,10.17929222,12.45413214,12.79007074,15.68876625,14.13565725,14.46242816,9.017971344,8.343350618,9.826980466,9.673964257,8.281373808,8.862702921,8.47020352,8.062165112,8.682092027,8.211085237,7.797039675,8.518780035,10.81496405,10.76152761,11.41523155,10.76792677,10.45527571,9.826318973,11.20633065,10.36870087,8.609335969,8.338944118,8.23905049,
HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.67708675,32.14555123,27.3307783,25.50241449,21.70670248,21.36045845,23.5164513,23.37687969,25.51020636,31.88472424,32.64294903,34.35830547,36.46951887,38.90964766,43.21138824,47.23361904,53.17396771,59.3237872,59.78318229,60.19467971,58.35252165,50.28201966,46.08388344,42.56063284,35.11728729,33.41597926,32.44131033,32.38937384,33.35740534,37.9267125,38.66417802,35.97399046,
IBD,,,,,,,,,,,,,,,,,,34.75805332,,,,,,39.19633922,39.734271,40.71268172,43.37105579,,,,,,,,,,,49.66185829,49.11302588,52.38724286,52.79139283,51.01674989,54.82323946,58.46771942,57.65488646,56.20500965,58.08278879,61.16484612,60.89550499,70.83474272,72.12102515,73.2176097,77.6775472,82.74619364,88.78719024,98.03002171,99.67059743,99.14861329,104.6424309,108.5380333,123.0025424,120.1130727,134.8817061,
IBT,,,,,,,,,,,,,,,,,,31.12572095,,33.05979743,,,33.11926521,34.57289391,35.18738138,35.98983228,38.50072181,39.3816673,,,,,,,,44.50067839,45.81457572,45.43677892,44.80007903,48.91581914,48.80686772,47.53920627,50.73689001,54.03694706,53.44842123,52.30447928,54.00817742,57.2590655,57.39832629,66.68358471,68.03886812,69.44787658,73.77422415,78.19172866,83.74992008,92.35182717,93.95489422,93.70861148,98.91388836,102.6324783,116.3135888,114.3031155,127.2468361,
