period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,avg_SE.upper,avg_SE.lower,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,median_SE.upper,median_SE.lower,percentile_2.5,percentile_16,percentile_84,percentile_97.5,avg_bound_upper_se,avg_bound_lower_se,median_bound_upper_se,median_bound_lower_se,avg_bound_upper_se_multiplier,avg_bound_lower_se_multiplier,median_bound_upper_se_multiplier,median_bound_lower_se_multiplier
0,0.9928511605325239,0.8867869009163158,1.0862336973889974,0.8185926993613355,1.1472806969511362,0.7857930659023641,1.1768600530932114,0.11210035685454643,0.13705988149926346,1,0.9622114173832271,1.0124621823361704,0.942058629091701,1.0291465157922253,0.9309585981789653,1.0311797173150457,0.0444717789409817,0.06806047434691981,0.8961545879751478,0.9894864415952326,1.001535330864778,1.0786474486164062,1.1049515173870703,0.8557912790332605,1.0444717789409816,0.9319395256530802,1.2170518742416168,0.718731397533997,1.0889435578819633,0.8638790513061604
3,0.9462407832619504,0.711506919354335,1.179882323301822,0.5573423772253049,1.3342640020918812,0.48275254314666194,1.409142123176235,0.23143087309913168,0.24244818513751998,0.9002006966114634,0.6797159077738423,1.0633867427441976,0.538562089419222,1.1587794268541893,0.4824484446068167,1.197994589311309,0.15992238644319293,0.18885976088002673,0.14328044884244487,0.5127723219467637,1.261873901812114,2.5374005312194323,1.177671656361082,0.7037925981244304,1.0601230830546564,0.7113409357314366,1.4091025294602137,0.4613444129869104,1.2200454694978493,0.52248117485141
6,0.6766809593839247,0.38573778109100787,0.9613183917888866,0.19386455888049983,1.1475872569528538,0.09996247749759747,1.2351528357474562,0.28559172614016876,0.30041007992586216,0.6345966517264505,0.3866378203007881,0.8224102271037684,0.2084794113286802,0.9641004482426903,0.10260829059387744,1.0520708001811887,0.1920881652585832,0.21904267377467407,-0.003727470955177037,0.1829867549173028,1.1518498196526652,1.8647975380380666,0.9622726855240935,0.37627087945806253,0.8266848169850337,0.41555397795177645,1.247864411664262,0.07586079953220037,1.018772982243617,0.19651130417710239
9,0.5570554284806026,0.22557685760052149,0.8673006570334887,0.0076358647179369105,1.0739286048762156,-0.09794171030265046,1.1741998222085812,0.31617113993042006,0.3370890115476233,0.523306270818791,0.25032243227601053,0.7342897153097726,0.10396182900065487,0.9021649711587761,0.030735736520892454,0.9520786600133907,0.23721505817944794,0.2522068710647107,-0.31558305741452913,0.1132236557709923,1.0823206721885945,1.8400572492961254,0.8732265684110228,0.21996641693297936,0.7605213289982389,0.2710993997540803,1.1893977083414429,-0.11712259461464392,0.9977363871776869,0.018892528689369636
12,0.4029228063376007,0.048746497931864585,0.7431111860178824,-0.1803288491587893,0.962847263983563,-0.2909398401411072,1.070246479596292,0.34238410057675855,0.3537979665442148,0.389400713184203,0.07944996619755637,0.6077558839277386,-0.04197677899495822,0.7720275343373374,-0.1059137607652404,0.8413156052990018,0.25640103363568184,0.26562327535486047,-0.6565171566995075,0.019983719113106212,0.7754969904824159,1.542377252944447,0.7453069069143592,0.04912483979338589,0.6458017468198849,0.12377743782934253,1.087691007491118,-0.3046731267508289,0.9022027804555667,-0.14184583752551794
15,0.2927299908097972,-0.075095841513947,0.6447671139486789,-0.31613769080156406,0.8767123283133498,-0.4321012307675187,0.9902487592599064,0.3597878674873424,0.3674559902912583,0.29167727275995686,0.017901934064948583,0.5375168210308531,-0.12707282936937614,0.6898351495470014,-0.22221046262662644,0.7928195112555022,0.26468404759051933,0.2516584118819128,-0.7840802442550752,-0.01921628130730187,0.6539980411334849,1.3987097380743203,0.6525178582971396,-0.07472599948146108,0.5563613203504763,0.04001886087804407,1.012305725784482,-0.4421819897727194,0.8210453679409955,-0.21163955100386872
18,0.2159466737184449,-0.15610203832155525,0.5772076253428828,-0.39961668485947677,0.8131661417225826,-0.5154809933661637,0.9276770444299265,0.3675504821418667,0.36867498911326935,0.19281218822639365,-0.05842599835914006,0.42646452314058225,-0.24403381225089849,0.5890879184314898,-0.3207626793596453,0.6796324303036738,0.26108164795855193,0.25631171250301443,-0.8696758201420717,-0.1583661128134416,0.61451702033225,1.446767397481861,0.5834971558603116,-0.15272831539482445,0.4538938361849456,-0.06349952427662078,0.9510476380021783,-0.5214033045080938,0.7149754841434975,-0.3198112367796352
21,0.08856496737258937,-0.28612384372122945,0.452203988425393,-0.5208103956074069,0.6927919247130784,-0.6373333766536874,0.8090423463430849,0.3720143939255232,0.365605571395556,0.06412750798685041,-0.18280142987946132,0.3184320712870083,-0.3304004869825131,0.506612576428477,-0.43423903030332345,0.6012342685214465,0.2544041767689812,0.25133414256372,-1.007899804315672,-0.3083922301407931,0.46101698558807386,1.1139348786644727,0.4605793612981126,-0.2770406040229666,0.3185316847558316,-0.1872066345768696,0.8325937552236358,-0.6426461754185226,0.5729358615248128,-0.4385407771405896
24,0.003235229375794784,-0.3556219979863088,0.37440266375653325,-0.5897961625556404,0.6132196133911905,-0.7064250809268373,0.7288960989403516,0.37468568155444354,0.3665230892135044,0.04168647594382846,-0.22120050891285237,0.2793530248647114,-0.3931339602160036,0.44446312350028505,-0.4754957305109338,0.5328829433527562,0.2829042746611679,0.2295922226427061,-1.1163318759852907,-0.3877006612850883,0.4122835290629401,0.9023275184642123,0.37792091093023833,-0.3632878598377096,0.32459075060499637,-0.18790574669887763,0.7526065924846819,-0.729810949051214,0.6074950252661643,-0.41749796934158373
27,-0.04266807104704022,-0.40445359185866103,0.3214631876916859,-0.6419075227953519,0.5558093723663784,-0.7592990906773595,0.6692006987264504,0.3660777642349723,0.36235761286993007,1.665557409590299e-4,-0.2354963901716646,0.21813045612374654,-0.39679549339796316,0.3750443598784101,-0.49023411461350075,0.46996651629383224,0.26977435964524255,0.2364539734964473,-1.2614153260998795,-0.5817784810120527,0.41381230023341686,0.9630823965993129,0.32340969318793206,-0.4050256839169703,0.2699409153862016,-0.23628741775548828,0.6894874574229044,-0.7673832967869003,0.5397152750314441,-0.4727413912519356
