period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,avg_SE.upper,avg_SE.lower,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,median_SE.upper,median_SE.lower,percentile_2.5,percentile_16,percentile_84,percentile_97.5,avg_bound_upper_se,avg_bound_lower_se,median_bound_upper_se,median_bound_lower_se,avg_bound_upper_se_multiplier,avg_bound_lower_se_multiplier,median_bound_upper_se_multiplier,median_bound_lower_se_multiplier
0,0.014183504113724876,-0.0492212860148267,0.08825304757185284,-0.09257425022378649,0.13973235809735376,-0.11299420454272592,0.1629878998568333,0.08567495957638709,0.0758471420831141,1.553044870008513e-4,-0.005333791069827683,0.009589669915238021,-0.014403498561880316,0.03260683477691029,-0.025423472376357045,0.04590650078293512,0.03326887182089053,0.030882300213086737,-0.21939970640702888,-0.04477908006462601,0.0853002375961638,0.3132530310549054,0.09985846369011196,-0.06166363796938923,0.03342417630789138,-0.030726995726085886,0.18553342326649905,-0.13751078005250333,0.0666930481287819,-0.06160929593917262
3,0.02723949979987119,-0.0985510693105734,0.1637557352909606,-0.1724416600075892,0.2533737470016246,-0.20936489055694515,0.3014672157078987,0.14334742261574351,0.1277528471924729,0.030415919842843975,-0.028834444775261196,0.09720104847405167,-0.08152185959073938,0.15131034128181908,-0.09993060750819269,0.17991737938844735,0.07954711504831287,0.08090140674545762,-0.3487970601599382,-0.09056551970500215,0.14936667483046057,0.3767800721097566,0.1705869224156147,-0.1005133473926017,0.10996303489115684,-0.05048548690261365,0.3139343450313582,-0.2282661945850746,0.1895101499394697,-0.13138689364807127
6,0.08979756574293075,-0.07314290537130531,0.2644422721487324,-0.18231414520381317,0.38077485275102146,-0.23805006270604614,0.43717390910479853,0.19047157324675543,0.17749789272608155,0.07099718307262462,-0.019257777860877914,0.15775195898669486,-0.08230102932488181,0.22998773820282736,-0.11452421408586212,0.2635341862269945,0.12117380184608784,0.11976867499586652,-0.580823132171456,-0.06539142525781409,0.3121157545592544,0.7312921339729168,0.2802691389896862,-0.08770032698315079,0.19217098491871246,-0.0487714919232419,0.4707407122364416,-0.26519821970923235,0.31334478676480026,-0.16854016691910842
9,0.16796428273091668,-0.03090663985919646,0.39087581098602325,-0.16608811290597789,0.5376765465361709,-0.23586340596480146,0.6087119137884028,0.23417319594894107,0.22116569988778895,0.11901507858434703,0.019857037333044558,0.24101228188241494,-0.06830831303819662,0.3221618497147849,-0.1028226620556226,0.3689781723832997,0.1451310126264731,0.1379400566911151,-0.6712405726583688,-0.03508214153495051,0.467839500799208,1.05618335745002,0.4021374786798577,-0.053201417156872266,0.2641460912108201,-0.01892497810676806,0.6363106746287988,-0.2743671170446612,0.4092771038372932,-0.15686503479788316
12,0.24370461191368642,0.008768407969371103,0.49839057712776613,-0.15754937810807837,0.6659036820456808,-0.24031413528181017,0.7488003308863047,0.26258230665452575,0.25115205997664253,0.17752483372529593,0.05707041293624529,0.3250106901850176,-0.03668504534177199,0.4296473430412351,-0.0811526353549892,0.4796871824189409,0.1629579534986667,0.15709011074622947,-0.5267560696989451,-0.006563397178618332,0.5224706670215769,1.3814138855478741,0.5062869185682122,-0.007447448062956108,0.34048278722396264,0.020434722979066455,0.7688692252227379,-0.25859950803959864,0.5034407407226293,-0.13665538776716302
15,0.31650781179492987,0.038142219499421266,0.6482845306059596,-0.1530497040636455,0.8536814194264285,-0.2504099183950329,0.9497796129927325,0.30997446576834947,0.2968923938216349,0.2240036224754111,0.07403585923379696,0.39007841339640004,-0.01140985804634835,0.5191748177269538,-0.05743040351058115,0.5834691196871351,0.19478631644719777,0.18721082466698905,-0.6563039356097187,0.015368871359210133,0.6048382455156581,1.87619856159389,0.6264822775632793,0.01961541797329497,0.41878993892260885,0.03679279780842207,0.9364567433316289,-0.27727697584833993,0.6135762553698066,-0.15041802685856698
18,0.32429893217991135,0.013287799146649579,0.6360957097832382,-0.18417891596737254,0.8387171633716379,-0.2862724596170146,0.9369387912560024,0.32349202516187064,0.3066105588768812,0.22771019200745088,0.08271997643131002,0.4157787351919653,-0.004764922797002746,0.5571756078656852,-0.06024167349114429,0.630583682140612,0.21104736214956282,0.20546181520874066,-0.7520985742782118,0.013922436532276376,0.5710273699861262,2.085052266250536,0.6477909573417819,0.017688373303030136,0.4387575541570137,0.022248376798710223,0.9712829825036526,-0.2889221855738511,0.6498049163065766,-0.18321343841003043
21,0.38021858632869693,0.05012814112344286,0.7133896310200294,-0.15803184959182628,0.9298615199697721,-0.2524167629976423,1.034057234744689,0.34063787461963274,0.3162082916165681,0.2603492235071674,0.09686231564909463,0.45704207758297344,0.01575474981744805,0.6111595719156686,-0.04494150997325369,0.6727162739302117,0.22664034117062656,0.20723968210499152,-0.5173130683700715,0.015654224977751673,0.6406016033620527,2.4275968268281174,0.7208564609483297,0.06401029471212882,0.486989564677794,0.05310954140217586,1.0614943355679625,-0.2521979969044393,0.7136299058484206,-0.15413014070281567
24,0.3503074994879835,0.015879930088438538,0.7083589632148675,-0.1948159074239675,0.9317210565733522,-0.2913212324149158,1.0392369810882347,0.35184281407490053,0.3268238083332153,0.27037865608340267,0.08808828500769225,0.457590342357168,0.008055416395597204,0.60605116039369,-0.047973178977380015,0.6879451961124624,0.2368450725149103,0.21450344720038697,-0.6489240515969044,-0.021536504794170054,0.677679172577085,1.8903018539441496,0.702150313562884,0.023483691154768227,0.507223728598313,0.0558752088830157,1.0539931276377845,-0.30334011717844706,0.7440688011132233,-0.15862823831737127
27,0.3742401823107654,0.03140432961625449,0.757955918074963,-0.16993098406820079,0.9981858883476858,-0.2714924573247467,1.1157805247784587,0.37429231829083376,0.3464335198830817,0.27782583873580236,0.08458288162305629,0.49417733747027304,-0.008021043508010755,0.645023969442126,-0.07108628232177422,0.7304035201908345,0.2508197248949572,0.21980817175374306,-0.49967113243137673,0.004754097826808736,0.7418379330885786,1.5480647624170576,0.7485325006015991,0.027806662427683704,0.5286455636307595,0.05801766698205929,1.122824818892433,-0.318626857455398,0.7794652885257167,-0.16179050477168377
