period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,avg_SE.upper,avg_SE.lower,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,median_SE.upper,median_SE.lower,percentile_2.5,percentile_16,percentile_84,percentile_97.5,correction.min_estimate_95,correction.max_estimate_95,correction.min_estimate_68,correction.max_estimate_68,correction.mean,correction.median
0,-0.11261586488815101,-0.24461157433292696,-0.01676687619974147,-0.3229743417652165,0.06698249211234576,-0.36121280421180596,0.10539564241831677,0.10492229187078521,0.12735804045852925,-1.4115988505638186e-4,-0.005668791238132285,0.002395979821370248,-0.007528581900420711,0.004652693007010106,-0.008628667966696776,0.006253363423151697,0.007357135465303882,0.007741346781821494,-1.8336785894123815,-0.14021855439506625,0.01135557239185725,0.26490848131105227,-0.05423323031521399,0.015896354363004673,-0.007291574288931811,0.010608105354186142,-0.002328713023105007,0.0023285613789490282
3,-0.27634254621254256,-0.5966084935501047,0.01112716028594833,-0.7998360439770399,0.20097989162601584,-0.896853437482063,0.2925004397031974,0.28547813183001014,0.32264967761736507,-0.08916060459240363,-0.21619651558407377,0.013238572204748722,-0.3274061088676233,0.09866101911887644,-0.3671436136095717,0.1411267393315896,0.15115044232330266,0.16478936356068571,-3.2838878420321236,-0.5844776176324534,0.10283175644865503,0.654748694879308,-0.1172751847127211,0.08856918984547633,-0.05627116208784015,-0.019016064033436322,-0.031742876768398744,-0.03421953712880292
6,-0.46918638557469644,-0.8926210890279971,-0.10188489337839249,-1.1656426118030847,0.1267449232146397,-1.2974268071784423,0.2318230044547986,0.3585089760373146,0.40776013828715857,-0.2155801517963205,-0.42436714911397544,-0.06992431790323074,-0.5375686208599841,0.018013983765005986,-0.5929836166088817,0.08286090886773656,0.19767120997748233,0.2138975346817977,-4.236347016911726,-0.7825460111469434,0.04885731983916736,0.5137268825504936,-0.28187268285840694,-0.01288702418309151,-0.1320822637014335,-0.036696816263705856,-0.09164037057051688,-0.05848090250143208
9,-0.6057359138983114,-1.0843885095043977,-0.19759148641035654,-1.384921115405989,0.04659613488804989,-1.5290242869794572,0.16212969627117937,0.414559580809415,0.4562761152205004,-0.32683976214553995,-0.5557690359169464,-0.11246297062775451,-0.6955463640414252,-0.0038370045501030514,-0.752345154866912,0.048733971524580866,0.24166876903934162,0.24953167599976003,-3.940348699300622,-0.9546879001850475,-0.028204583937666367,0.590009379518931,-0.43282408266841277,-0.04098966436568198,-0.17244143990167943,-0.06404979277329291,-0.1411542500125729,-0.10440715176978638
12,-0.6957232167461682,-1.1600971894999157,-0.29351375009923014,-1.4549658689274758,-0.04474027743060399,-1.5972092950184757,0.07686557965938591,0.41267985207571617,0.43934684144885494,-0.3609776215688789,-0.6294024878348098,-0.15255062639481132,-0.7676247709269913,-0.004630725927885104,-0.8354965558189447,0.027859515775042087,0.25264143912181236,0.24900597715277478,-4.226373224203453,-1.1695853999173194,-0.06772053808407177,0.53005572716139,-0.4982458508170601,0.015228333952423371,-0.1937033528268945,-0.029257592534300075,-0.13586011607037266,-0.08639301283768672
15,-0.7549067204766419,-1.2090220226229242,-0.34060435397765143,-1.5400148608389659,-0.07489185659305422,-1.6796985463311846,0.055111645209649264,0.4329432487003921,0.45645360895470605,-0.4252346364080962,-0.6499409866679232,-0.17665620925798048,-0.7649567122461196,-0.022475563816286487,-0.8476537165121364,0.018383785440629345,0.2715100154243736,0.2504850381051075,-4.494944664326971,-1.3068396076933908,-0.04699038537088964,0.5549310890397464,-0.5563619819493948,0.017979716152958652,-0.2936039526635179,-0.02336909946189987,-0.14614194204508918,-0.08059621136253212
18,-0.784598907363861,-1.2517724312119987,-0.35135790638306585,-1.5714730189912334,-0.07151514506414884,-1.7204474181383542,0.06044943187856372,0.45435862528262105,0.4799258222296082,-0.4389105323308454,-0.6856196757193556,-0.18709544075101142,-0.8248549783164336,-0.020623419837718756,-0.8892856855852839,0.0337743015260072,0.26623362290420977,0.2612577888512181,-4.595436570210992,-1.3702866478457674,-0.03603226685442836,0.56437108632641,-0.85001033413248,0.02769153986620947,-0.31119682574994195,-0.003067600536935401,-0.15152145317500076,-0.08524294408343067
21,-0.7904397806788531,-1.273394096119323,-0.33013249493707925,-1.5852227030063557,-0.05099343538383168,-1.7367683641250156,0.0936106998824158,0.4639096811116619,0.48060428960771573,-0.45117418582699537,-0.6864214220803944,-0.1710791466948514,-0.8412295710400884,-0.015869431352428374,-0.9032389734410197,0.05109061577873188,0.2685408301850413,0.25998184382114886,-4.710300243500665,-1.368660530857466,-0.029527761495609192,0.4804199748355784,-0.590195357263407,0.014772561937579231,-0.32471055125141735,4.546322911432718e-4,-0.14254163620206023,-0.06582083202957034
24,-0.7859103534285025,-1.2353185458154727,-0.34787674137850044,-1.5305509470641077,-0.06156040381657458,-1.6758757559687238,0.07337511636269331,0.44439932936597165,0.4651205337994755,-0.4352046957888164,-0.6497589928536653,-0.1607806955120003,-0.8361109724050519,-0.004112820197893996,-0.9187275461215263,0.04924120346777039,0.28101261170115177,0.2643950649319995,-4.616625103185024,-1.4665324640500685,-0.015350292313828912,0.6007821494984568,-0.567144481146162,0.004566279969028134,-0.1973025966782298,7.76285659343622e-5,-0.12083039789026614,-0.055788821489501664
27,-0.737646774861466,-1.196524297329873,-0.31333079798968866,-1.4786296424337844,-0.03900849984177021,-1.6107105763992868,0.10032397404379698,0.4539509450046481,0.4415628591347668,-0.35354081946119403,-0.6240878844458757,-0.10656897597857182,-0.8186942656903682,0.0112530252181555,-0.9089024650251898,0.06343719242848939,0.2726671206044712,0.2627516495877866,-4.572160175900494,-1.440711666736199,-0.005885338880657008,0.5339926674157416,-0.5399379230316078,0.003252036350007237,-0.2080123268786792,-0.004241493194198219,-0.11911565660358035,-0.04172764577333647
30,-0.7355766539663512,-1.1934826002368255,-0.2926023397264439,-1.488680958376016,-0.0014963305301279523,-1.6249419569945773,0.14784387390069845,0.47009539202995865,0.45975827121452767,-0.36213478130942,-0.6238870635197937,-0.09715958301600709,-0.802243218298132,0.010094326111160568,-0.8932537553310598,0.06297575430382553,0.2904118853088182,0.29228263727229004,-4.728215065128802,-1.408588826272845,4.7654485855648185e-4,0.5418069237484691,-0.5449449498263276,0.0018790053900100642,-0.21341805377803247,-0.003681649006925832,-0.1252192038501312,-0.0782437449809523
33,-0.7267963379536017,-1.196450933987186,-0.28149472318891233,-1.4884762379626064,0.018408169869999467,-1.6241154379046268,0.17805930730876665,0.4777551171788164,0.47355979546308613,-0.338199004799396,-0.6223497600412142,-0.0877238476980664,-0.8320614801949342,0.03146541634186742,-0.9388700751996522,0.07517473464268687,0.30116713597487776,0.2891127272778198,-4.726446211731835,-1.40000575260102,0.0057485759972192635,0.4112179883556061,-0.5462955009216413,0.004356287099537554,-0.21795880878357127,-0.0020457070086956353,-0.12261322797497298,-0.08830144725160846
36,-0.764022762239158,-1.2546595615855365,-0.29681496074770597,-1.5603806144473524,0.025917522656089508,-1.709000986964673,0.17998087813717645,0.49580244452880656,0.501992148480008,-0.30737823122859675,-0.5735214590446849,-0.10122613244493754,-0.7867432387167834,0.023144467917895234,-0.8928409987145816,0.08850975455233548,0.31263382224033076,0.29646560055814625,-4.839167840136342,-1.4342546881363711,-0.0028898355844945624,0.46629939676032367,-0.5760977011483357,0.004006109890245893,-0.22557705187392146,5.474625464457143e-5,-0.12546186179757046,-0.0891106742351852
39,-0.7507837598477785,-1.2322571114347345,-0.2735607456574398,-1.543734475151828,0.051993696083422476,-1.6944794068834559,0.20985006421598107,0.5061793495062287,0.49560664190929593,-0.29785429186753754,-0.5663689464155384,-0.06319033058428974,-0.7968092710181578,0.05958037429225575,-0.9177749950633584,0.12484275184946148,0.3176507497438627,0.2961692477395286,-4.831058227335477,-1.3544090815361183,0.009204636504678239,0.5101931151022763,-0.5558065582963672,0.007169065108739394,-0.20392955385812062,0.0040797122481639955,-0.11244644223111919,-0.0551827641185697
42,-0.6500712540503312,-1.0358667272700541,-0.2455139612658392,-1.2933407640090822,0.03049525647103155,-1.4229556978824873,0.16685356711441915,0.41525627896280093,0.4001388861849348,-0.22668930780491864,-0.5540649946733835,-0.03386366656597066,-0.7400069282057058,0.06516779189525662,-0.8194830761612435,0.1382306022135027,0.3009200430750173,0.27696365351076296,-4.660582740718363,-1.3199875699468058,0.033331999248292235,0.5029064489063915,-0.5022749305510202,0.009248116536336743,-0.1120524143281685,0.005967351258394378,-0.080572756861581,-0.009739802860637515
45,-0.62859475000822,-1.0036444795990027,-0.23303323379189733,-1.2474158133346482,0.02141922057469192,-1.3682881228051087,0.15606602556117802,0.4112074750088131,0.3904314521177764,-0.20000789904042787,-0.5116439974097388,-0.02256218459312932,-0.6993085511275603,0.08514689842527576,-0.7981898840147394,0.15028358517103274,0.2943522767913994,0.27535247441109867,-4.561870427577192,-1.2822296560713249,0.0318235417360438,0.5940717365833371,-0.45885196648016824,0.032640314730290367,-0.09312967522729354,0.007505418855924937,-0.06588399310267447,-0.0015648695709322236
