period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,avg_SE.upper,avg_SE.lower,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,median_SE.upper,median_SE.lower,correction.min_estimate_95,correction.max_estimate_95,correction.min_estimate_68,correction.max_estimate_68,correction.mean,correction.median
0,-0.18440928405992454,-0.4440630056219521,0.03347202421887439,-0.6038274207975629,0.17670249591638826,-0.6802507341547643,0.24357821539465907,0.21481413036010397,0.24330586902111054,-7.26827249616047e-4,-0.009104068203785117,0.0027048133884758387,-0.016690788526802478,0.008579355264295308,-0.020598981015683873,0.012112059018067835,0.012403950328232823,0.013382647737227412,-0.005333528613030934,0.02363667632896587,-4.908496915418016e-4,0.0016982804171136296,0.0027222419488119867,3.6040606288611154e-4
3,-0.27231514236869225,-0.6549809483710334,0.052451472803364596,-0.8908989478159144,0.2646346215279082,-1.0051375803579976,0.3679925574745425,0.3317914662393538,0.368071538253177,-0.07310164863287294,-0.19579594776932085,0.03632651969128228,-0.2934072082954647,0.11074328034385603,-0.33475558052384685,0.14896571789478635,0.12834836074576939,0.13310671096726695,-0.15557756923971894,0.017501557427498506,-0.031152523265175498,0.007836356730944436,-0.030982606778188107,-0.020999166685981795
6,-0.49557991413507874,-0.9252683144308874,-0.08922616542346355,-1.1969610579001115,0.16578219286207685,-1.330737075597698,0.288568949705676,0.40231351890260314,0.4281252121095529,-0.24010591571838358,-0.43377793879947096,-0.07248240008709612,-0.5636422805134804,0.010151070324849389,-0.6248572619688095,0.06300436369019574,0.17393827776626836,0.17939904399986573,-0.331074430897724,-0.01321989913317486,-0.16857112377381497,-0.030980264115383155,-0.11315203392981246,-0.08782677392785396
9,-0.6580232612854581,-1.1366957820429722,-0.20961971330675352,-1.4421860803558186,0.07067853099049506,-1.5921911039078616,0.20655105081061578,0.4475270325964204,0.4757140984989011,-0.34421106297061144,-0.5708232216325568,-0.13854234961934578,-0.7182664957170255,-0.027034213608890384,-0.795741301026531,0.028935063824370097,0.2092043272029117,0.21915229196165753,-0.4381794829270572,-0.06820726116017406,-0.2390578601878548,-0.0847285799173669,-0.17662255243703495,-0.14268746118444608
12,-0.7299516191674384,-1.250447680318045,-0.2523134195070235,-1.5819737439520793,0.04476758962679202,-1.7447725802333838,0.1894608218624536,0.48596981482645646,0.5158814495691032,-0.4186136950751869,-0.6738120989468486,-0.1823395100235098,-0.8418637747886254,-0.05708264999653785,-0.9230958528379475,9.984926750156442e-4,0.2351753702529345,0.24078046881833431,-0.49785663844372224,-0.08804065847411018,-0.33860749418668024,-0.12361515546553935,-0.2271266699907989,-0.1740442407756448
15,-0.8110644420815857,-1.3708323944617644,-0.3031644014884157,-1.7248258519990423,0.016318347989356875,-1.8986901571230042,0.1718162050768222,0.5204740560438922,0.5522445808422641,-0.4921937307086566,-0.7575722463467538,-0.21448529602370575,-0.9286132400678736,-0.07340736196868186,-1.0250287593980905,-0.0022624510686405225,0.2554643009105431,0.26415136616117874,-0.5881047184576745,-0.09023421283087535,-0.39510227391042646,-0.14511337000712587,-0.2621118550189945,-0.1952503416968901
18,-0.846300709378835,-1.4381525336817118,-0.32074386487325246,-1.808576520246131,0.012409322926868624,-1.9897280303815823,0.17448788078082456,0.5447123754622766,0.5736142592325151,-0.5446355996756675,-0.8211681544260023,-0.2423162738664524,-0.9804703006096305,-0.0652158872214531,-1.0603981747322035,-0.002586860386043527,0.27867079274899076,0.2805770010659362,-0.7140315362222144,-0.09186706468878497,-0.4275243520897519,-0.1563276989156639,-0.28845385208283314,-0.22137918106751975
21,-0.8665789291850551,-1.4771972464180545,-0.3311212588423846,-1.8574983106468397,0.00912271152274107,-2.044105970783008,0.1758188681931267,0.5602776500050498,0.5914275985841373,-0.5535487961441583,-0.8469056570898634,-0.2516421836415502,-1.016623654461507,-0.06732945886446053,-1.0882454954206275,0.007606370520844868,0.30292613183565775,0.2954011921308395,-0.7333937608259108,-0.08825660818747924,-0.4402156185895287,-0.14919301248745975,-0.2889441623438658,-0.20459948212313686
24,-0.8998713840588026,-1.526779876265592,-0.34673980779363794,-1.9181219736708994,0.006157959688941091,-2.1104707868342514,0.1783534875806356,0.5782332213311578,0.6104586205892137,-0.5816997582564045,-0.8860261507924944,-0.25927852143582486,-1.0655544482491124,-0.06865461390717081,-1.159101397725416,0.010625759941291057,0.3087708611262281,0.31581749765329015,-0.7523725546320471,-0.0942383657124765,-0.4723503500293307,-0.1494020324253992,-0.2955255588652196,-0.20642580326781224
27,-0.8876728228532702,-1.529438278697395,-0.3271231044190883,-1.927426158522168,0.03310338365366879,-2.1230228039737433,0.2077130713650824,0.5926013011651843,0.6240022367136081,-0.5423995238251174,-0.864685537133141,-0.23288789457929582,-1.045402128628928,-0.0410568461624993,-1.141349542100484,0.032773822734138175,0.31564648722899125,0.3163328519343205,-0.6765976966319911,-0.0900308173064313,-0.4400064323610015,-0.12190557741394417,-0.26957652222805895,-0.1897128300233998
30,-0.8846696707589408,-1.5439594932828595,-0.30642574505524417,-1.9518520367673573,0.0649313303377724,-2.1519520394079303,0.24440105172748477,0.6032497760829757,0.636156464719265,-0.5422119336658329,-0.8840476674460636,-0.22584420522295967,-1.0803738543079122,-0.02246045271003108,-1.18250091245143,0.04896150487434456,0.33137853102767884,0.3316258423673234,-0.7021336172087025,-0.0787836726384882,-0.43820479142657176,-0.11808623042181873,-0.2809985697690937,-0.2341723785235508
33,-0.8444076134638461,-1.5048386687220496,-0.2588918073222148,-1.918979361045744,0.11540980845100984,-2.121175446820295,0.2963972394560492,0.5997438132582796,0.6364136094590468,-0.529844610954989,-0.8845360746670389,-0.17337586095749075,-1.0763828132442532,0.011225944580261046,-1.195751506399577,0.09227014855154934,0.3327111873646349,0.34487026973612056,-0.7084994150426984,-0.051423822406608456,-0.4619572670963461,-0.06638870848174118,-0.2596707142643989,-0.20061349367143416
36,-0.7758415173749368,-1.3793698937110435,-0.230083890718039,-1.758315828255065,0.12413703872497617,-1.943054740086555,0.29696035356392,0.5538850206700375,0.586920164031929,-0.503198093655172,-0.8556412985180493,-0.13355517425941987,-1.0776018231092608,0.02980449966946116,-1.2012676760168444,0.10626244670503063,0.33047623769636303,0.3351354872571065,-0.6507877217599123,-0.007039452096398424,-0.46316248819187644,-0.06582306334970606,-0.25197247664430045,-0.20061535498129185
39,-0.7380913134109155,-1.3445475554438298,-0.17809215584658117,-1.725144449181892,0.1842783522179939,-1.9109846249409597,0.36097007996780067,0.5642881754745704,0.5917014110060467,-0.44001100268892385,-0.8112347732552295,-0.07834266222371067,-1.0422312870510022,0.08701314395169898,-1.1481675838287901,0.16026320900824542,0.3418827766816775,0.35038046796319144,-0.5969063115980994,0.010734046907467027,-0.39788679227730384,-0.04436704077580328,-0.21058729690225023,-0.1657735448590901
42,-0.7038449504202083,-1.3088353153112273,-0.1376626597821302,-1.6880445646390148,0.2251262209575267,-1.8737467008795319,0.40287755418104143,0.5679433034338542,0.5946403159495255,-0.4123383634636182,-0.8007232100214702,-0.04385078126321104,-1.0317580867114076,0.10932417887150432,-1.1224967407605997,0.21642812371680856,0.34305997451154,0.35089505356567663,-0.5537955987852632,0.02171084313939651,-0.367294841048872,-0.025107938983426083,-0.18509179222140507,-0.14432124921849213
45,-0.6874113229787305,-1.2960863753690914,-0.11340707675834927,-1.6784247446750393,0.25341586641662106,-1.866525467716749,0.4311883572519942,0.5747770836540146,0.6043748624047572,-0.39870547528778,-0.7734753480249869,-0.029391261014108282,-1.009132810721191,0.13493807407395658,-1.1000035778717934,0.23518151065412796,0.3457090023428775,0.35474092038495375,-0.5274689274405179,0.06132039359881543,-0.33896146459782217,-0.0022263243931589394,-0.1567209310051185,-0.11575801926644246
48,-0.704167088064966,-1.326041067867741,-0.11522697440911987,-1.7157827002997526,0.2595377057127262,-1.906389683324837,0.4413303130128641,0.587966255861349,0.6211165804893428,-0.4212692316214458,-0.7896001987023322,-0.030625795271259804,-1.016290939966472,0.1536679049662244,-1.12163279468274,0.23894621892994078,0.3579374079993566,0.3625723011824122,-0.5445723428345319,0.04089459048211824,-0.3515499693264523,-0.006363377731868921,-0.17119183187666703,-0.11679031333824239
51,-0.6633147439095856,-1.316964929497238,-0.0455369563944548,-1.7241985335256393,0.3414210278152052,-1.9232734284526838,0.5296928515749153,0.610767726422966,0.6407415650617683,-0.3875943707250587,-0.7441645006548976,-0.0033593515455838663,-0.987797705703618,0.18959688460678903,-1.0947749095074577,0.3140115815615877,0.3794541019713396,0.37642480515394605,-0.5510693698015305,0.022966170158011202,-0.3046907475983937,0.01485644967721313,-0.12465941417092423,-0.07267338719526246
