period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,avg_SE.upper,avg_SE.lower,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,median_SE.upper,median_SE.lower,correction.min_estimate_95,correction.max_estimate_95,correction.min_estimate_68,correction.max_estimate_68,correction.mean,correction.median
0,-0.14592047428987728,-0.29979189802594963,-0.02516828345228415,-0.39755278504993097,0.052861928549395615,-0.4451836412932094,0.0906648806671158,0.12143311572966739,0.14943654940770235,-7.92393026941562e-4,-0.006423572649408335,0.001794836108340871,-0.012169752392609551,0.006188306006817667,-0.015461075633346784,0.011446984186311904,0.012944937028555665,0.011736358308636558,1.0834817452711299e-4,0.036020500019437816,5.480905356989963e-4,0.012578954475340215,0.006275094760216676,0.0010759556719871213
3,-0.1556294561594554,-0.37803705524739956,0.04461663752461865,-0.5216549997112429,0.17592131341999365,-0.5916660622103862,0.23893528632364072,0.19823239406266763,0.22022318666383947,-0.010540073924522816,-0.09977470537542878,0.049398605285726135,-0.15461385739856814,0.10667645058625316,-0.18411070933244067,0.1389475151552172,0.10208941564405469,0.10759543299015499,-0.04589782756115696,0.07598052709085386,0.019434020741486046,0.04929780107161311,0.02529685784337747,0.025922536102392334
6,-0.17768978601574942,-0.44977744521714175,0.07080958579590435,-0.6240310664465356,0.2282985566883712,-0.708302245041594,0.30412370743479966,0.24356474252650498,0.266615112657461,-0.028774928320055307,-0.15351693471167138,0.06782223410920282,-0.23943114661716253,0.14339183426957158,-0.27833580705288447,0.1796835469786333,0.13174626327182107,0.13892266748178056,-0.08380930860583477,0.09050259132193147,0.016657201623716256,0.06762492955167661,0.03079406051241635,0.032424553135420656
9,-0.19579784813970677,-0.49957743168624386,0.08858646860435314,-0.6941870802997194,0.2715159955683438,-0.7882186774438471,0.35886594133556415,0.27781305420968766,0.2998587198696252,-0.05969251275244242,-0.20625694967232136,0.08308469353193822,-0.31825083929655534,0.1728670828778721,-0.36871903792062644,0.21695132942356504,0.1573389482740748,0.1614921276255826,-0.09545757164667988,0.0798510731580033,0.012867544459618943,0.07322753200981225,0.027728375710124646,0.02852493111240678
12,-0.22827475896246296,-0.5728426382105811,0.08492393149272816,-0.7922516874371861,0.29259288310847675,-0.8994746816946612,0.3919288438915424,0.31083809784892574,0.33845291353441886,-0.08328953772434841,-0.2541343884443616,0.08011185247191327,-0.3747755253644157,0.18922462102817925,-0.4361859558083682,0.24373354129520927,0.17094860601577605,0.18363210181863932,-0.09862453601887425,0.09620852420179016,0.020661699948792425,0.07513346198671572,0.03195678631239798,0.03879546828716425
15,-0.2455454034114166,-0.614798736518075,0.0998540275120211,-0.8513891330551716,0.32562407965036216,-0.9664921339726839,0.4338060640762799,0.33950001818925585,0.36582767590719145,-0.10615267632569028,-0.2866244970831173,0.07820449749824751,-0.41274790979667125,0.20251287876640542,-0.4787879602465706,0.2625749203205956,0.18886524587194065,0.2001531877113908,-0.10649130448992482,0.08544737305700165,0.004915156065465075,0.07813430444128708,0.02940225530483809,0.05335209118924525
18,-0.2819189335741114,-0.6772694419592062,0.0882040521521327,-0.9292078309862329,0.32893672516910544,-1.0527579994379659,0.4441290027284679,0.36718023426033974,0.3931290727468676,-0.12524664857294376,-0.3320638376044974,0.06558013286529041,-0.4750177008596898,0.1989824425717103,-0.5404629814058058,0.2583721479701532,0.20087944351027615,0.20958591275169158,-0.13335206209777484,0.19886953629776094,-0.015183831730315313,0.08284145094806859,0.028020556472268133,0.04080553884431577
21,-0.29614982604104545,-0.7187758983134688,0.09773229455972386,-0.9882886733234542,0.3523718370181016,-1.1201721436703267,0.4751067537651926,0.39046275896347715,0.42025479295354834,-0.14453923803319269,-0.3674704301928854,0.058312962542175634,-0.494414710894054,0.19737396533334967,-0.5787676229014073,0.2702510700671739,0.2134956970494024,0.22823146927661167,-0.15957022100631973,0.2127197925710124,-0.03185625537432034,0.06364249685093193,0.015380195769251327,0.02508283570651936
24,-0.3367712103028167,-0.7868258020158029,0.08378677678011687,-1.0741251642490461,0.35437553932480853,-1.2145618091981323,0.4860942764170709,0.41702470117561474,0.44754235469834436,-0.1815724540606488,-0.41145509865797253,0.03715484465336914,-0.556587517650782,0.18744191738050603,-0.6451155669492944,0.257894866701315,0.22990127041918398,0.24495833241280426,-0.2041728264005769,0.22204597434557963,-0.05144426116622536,0.06374922217633153,4.303793608344859e-6,0.005165178999322064
27,-0.36881102690381057,-0.8343836028445303,0.07038245939917785,-1.1296363211746052,0.35454736078320176,-1.2752504026472977,0.4930148614878118,0.43645294806897206,0.4632488643366461,-0.21096518154235666,-0.4586900347905669,0.027567696869209443,-0.6020171179214678,0.16220386869945855,-0.690729526712266,0.24336840967634382,0.2476232553714887,0.2515790349611182,-0.22842811487310913,0.1330405596711304,-0.06127090434960199,0.05309106573382222,-0.02381735446854304,-0.010255223037182255
