"part","term","statistic","3","6","12","18","24","30","36","42","48","54","60"
"estimates","LP and ARDL","estimate","0.01","0.04*","0.04","-0.01","-0.04","0.04","-0.02","-0.07","-0.23*","-0.20","-0.61*"
"estimates","LP and ARDL","conf.int","[-0.01, 0.03]","[0.00, 0.08]","[-0.02, 0.09]","[-0.10, 0.08]","[-0.17, 0.09]","[-0.10, 0.18]","[-0.16, 0.12]","[-0.26, 0.13]","[-0.42, -0.04]","[-0.54, 0.14]","[-1.09, -0.14]"
"estimates","FAVAR","estimate","-0.03","-0.03","-0.06","0.09","0.25","-0.41","-0.45+","-0.34","-0.16","-0.17","-0.37*"
"estimates","FAVAR","conf.int","[-0.07, 0.01]","[-0.16, 0.10]","[-0.37, 0.26]","[-0.27, 0.45]","[-0.17, 0.67]","[-1.02, 0.20]","[-0.96, 0.07]","[-0.82, 0.14]","[-0.38, 0.05]","[-0.40, 0.05]","[-0.73, -0.02]"
"estimates","Other VAR","estimate","0.01","0.05+","0.02","-0.01","-0.06","-0.10","-0.10+","-0.09+","-0.08*","-0.01","0.01"
"estimates","Other VAR","conf.int","[-0.01, 0.03]","[0.00, 0.10]","[-0.06, 0.10]","[-0.11, 0.09]","[-0.18, 0.07]","[-0.24, 0.04]","[-0.22, 0.01]","[-0.17, 0.00]","[-0.15, 0.00]","[-0.04, 0.03]","[-0.09, 0.10]"
"estimates","DSGE","estimate","-0.05","0.04","0.06","-0.04","-0.03","0.10+","0.12+","0.01","0.13","0.11","0.10"
"estimates","DSGE","conf.int","[-0.13, 0.03]","[-0.06, 0.14]","[-0.05, 0.17]","[-0.21, 0.14]","[-0.21, 0.14]","[-0.01, 0.20]","[-0.02, 0.26]","[-0.13, 0.14]","[-0.10, 0.35]","[-0.04, 0.27]","[-0.13, 0.34]"
"estimates","Output gap","estimate","0.01","0.00","0.12***","0.19***","0.19***","0.15***","0.19***","0.15***","0.11**","0.06*","0.14**"
"estimates","Output gap","conf.int","[-0.03, 0.05]","[-0.05, 0.06]","[0.06, 0.18]","[0.12, 0.25]","[0.12, 0.26]","[0.07, 0.23]","[0.10, 0.28]","[0.07, 0.22]","[0.04, 0.17]","[0.01, 0.11]","[0.04, 0.23]"
"estimates","IP","estimate","0.01","0.04*","0.07*","0.09*","0.08+","0.06","0.10**","0.07*","0.07+","0.00","0.03"
"estimates","IP","conf.int","[-0.01, 0.02]","[0.00, 0.08]","[0.01, 0.13]","[0.01, 0.16]","[0.00, 0.17]","[-0.01, 0.14]","[0.03, 0.18]","[0.01, 0.14]","[-0.01, 0.14]","[-0.05, 0.04]","[-0.04, 0.10]"
"estimates","weekly/monthly rate","estimate","-0.01","0.02","0.00","0.02","0.03","0.04","0.01","0.00","-0.02","0.02","0.05"
"estimates","weekly/monthly rate","conf.int","[-0.03, 0.01]","[-0.02, 0.06]","[-0.05, 0.06]","[-0.04, 0.09]","[-0.04, 0.09]","[-0.03, 0.11]","[-0.06, 0.07]","[-0.05, 0.06]","[-0.07, 0.04]","[-0.02, 0.06]","[-0.02, 0.12]"
"estimates","yearly rate","estimate","0.01","0.01","-0.09*","-0.13*","-0.13","-0.20*","-0.25*","-0.35***","-0.38**","-0.31*","0.07"
"estimates","yearly rate","conf.int","[-0.01, 0.03]","[-0.02, 0.05]","[-0.17, -0.01]","[-0.26, -0.01]","[-0.34, 0.08]","[-0.39, -0.01]","[-0.44, -0.05]","[-0.55, -0.15]","[-0.61, -0.14]","[-0.60, -0.03]","[-0.40, 0.54]"
"gof","Num.Obs.","","1686","1685","1726","1649","1658","1507","1410","1240","1026","769","504"
