period.month,avg.effect,avg_CI.lower_68,avg_CI.upper_68,avg_CI.lower_90,avg_CI.upper_90,avg_CI.lower_95,avg_CI.upper_95,median.effect,median_CI.lower_68,median_CI.upper_68,median_CI.lower_90,median_CI.upper_90,median_CI.lower_95,median_CI.upper_95,correction.min_estimate_95,correction.max_estimate_95,correction.min_estimate_68,correction.max_estimate_68,correction.mean,correction.median
0,-0.23116741888615774,-0.6266011264526552,0.06677475830463575,-0.8555250747588523,0.2663127019886556,-0.964073558620263,0.3601424796406904,-6.892434645882073e-4,-0.013182563949203311,0.0036105135912203584,-0.024284724627513247,0.011856255446225006,-0.029278766039986436,0.016454847575429355,NA,NA,NA,NA,NA,NA
3,-0.357380159663048,-0.8842648987442246,0.12865034157418084,-1.242931495849498,0.454564643378023,-1.4177358968662217,0.6091126969833809,-0.07686359367617486,-0.25334601434732096,0.051255642605507884,-0.38576867498242806,0.15236703492926384,-0.4616912697170638,0.20312746310700291,-0.20089168226754767,0.005601748836925728,-0.14740698221718015,-0.004624556736441628,-0.05851196244153988,-0.03914566255436365
6,-0.6060759140539789,-1.2438397471363491,-0.016692119485303882,-1.6526550719461477,0.36026400568544914,-1.8508106290350543,0.539528623599783,-0.2530246437883154,-0.5357800097665122,-0.05501379351231518,-0.6946982560190907,0.04798586315355945,-0.7712489304261853,0.11261405872261604,-0.33116652791954676,-0.026316872425756605,-0.2572645057971965,-0.05065047431078547,-0.1392642706106671,-0.10723843732335855
9,-0.7776726679548923,-1.4567157841961809,-0.14488789529987744,-1.9087522963022936,0.2659747597308321,-2.130359665034994,0.46358976854327205,-0.38016803606604865,-0.6919729765203042,-0.1300220809799129,-0.8812041389752807,0.00996546156510697,-0.9726084163310663,0.07489371978876103,-0.41639430054432985,-0.05329351457935269,-0.3221357699952921,-0.07205037200599684,-0.1799292104416438,-0.14609950432651514
12,-0.8586460226394426,-1.592778595616723,-0.19365255868000833,-2.0620833601065667,0.22962042217498185,-2.289952006194117,0.43408978884191857,-0.453630461128948,-0.7863261155308141,-0.1714049816350725,-0.9835061327945309,-0.010136634118982371,-1.0674072873626712,0.057038195581640805,-0.47614286868132477,-0.03097050310059407,-0.35257538114997927,-0.07720313844234802,-0.19162369611099975,-0.1508270900100543
15,-0.9268031778010524,-1.6950412803320418,-0.22817533983316132,-2.1934007152264443,0.2285187624153421,-2.4366592081960774,0.4481050308029529,-0.5235819041055375,-0.8565968345465385,-0.19342656400201252,-1.0530431458768257,-0.011071250217280254,-1.1694787951221555,0.056266256984942725,-0.5040601828630706,-0.02639434041691106,-0.40209866945857053,-0.06027826865441753,-0.19734085915760338,-0.1455682671506348
18,-0.9566141991470896,-1.7472531300516156,-0.23360909277035488,-2.259465566311232,0.24229040894087772,-2.511957106331949,0.46958783215950817,-0.5619194355126829,-0.8890369361660544,-0.2029949618459877,-1.1243912529910784,-0.009952987049658399,-1.2402414315869121,0.07059409190508575,-0.5630147395172971,-0.04472689118984675,-0.4168262193150517,-0.0859228239237591,-0.22677313662480156,-0.1616921982289268
21,-0.9703676221714126,-1.7747745289661936,-0.22639992539678538,-2.292389575065257,0.250293373483376,-2.5448956771265188,0.47897099738032595,-0.5666892702752842,-0.8992224948440863,-0.1934569203090435,-1.112850845950668,-0.005775346829365157,-1.224178349923391,0.07749522332734862,-0.5310741907045795,-0.01988234204726097,-0.4045758207265283,-0.05720933064595789,-0.19498460142382146,-0.1487988717374957
24,-0.9776153828200331,-1.7804379237350991,-0.2319383624589238,-2.2981269767688266,0.24732307283682,-2.5509514888131486,0.4765397216810419,-0.5611982709349832,-0.918654624017561,-0.19612743857469345,-1.1307546358507339,0.002379375891951523,-1.2411853784341855,0.0822058603758314,-0.5524838940766333,-0.004545140074346644,-0.3803500600389562,-0.04758508740201139,-0.1914277967901532,-0.12909319570842304
27,-0.9699492077310403,-1.820204645038207,-0.2076905624358195,-2.3647519022679275,0.28736283464475987,-2.6310216107250253,0.5249293004484865,-0.5370295121461544,-0.919276398395177,-0.1596264151823695,-1.1374895317963332,0.02239150052127864,-1.2457489380903286,0.10897002676104761,-0.567260048443141,0.012169694177837961,-0.3961370658708436,-0.042924409729986755,-0.19683129774006627,-0.16585924048490927
